SEED: 3102451639
BEST: -289.95481872558594
t,generation,fitness
2.3944,0,-1072.983032
3.6513,1,-1072.983032
5.1127,2,-1072.983032
6.5607,3,-1072.983032
8.1678,4,-1072.983032
10.0102,5,-1072.983032
11.0756,6,-991.719254
13.0113,7,-991.719254
14.0508,8,-991.719254
15.4594,9,-796.969284
17.1272,10,-796.969284
18.9455,11,-796.969284
20.1037,12,-796.969284
21.8453,13,-796.969284
23.0454,14,-796.969284
24.4275,15,-796.969284
25.8611,16,-796.969284
26.9026,17,-783.688965
28.4281,18,-781.567581
29.7659,19,-781.567581
31.0844,20,-781.567581
32.0163,21,-781.567581
33.1758,22,-736.466949
34.4039,23,-736.466949
35.0809,24,-736.466949
36.5503,25,-700.140778
38.2542,26,-700.140778
39.1321,27,-700.140778
40.3566,28,-700.140778
41.8286,29,-700.140778
43.3000,30,-700.140778
44.7033,31,-657.931519
45.5796,32,-657.931519
47.6667,33,-657.931519
49.0109,34,-657.931519
49.8676,35,-657.931519
51.3244,36,-657.931519
52.3236,37,-657.931519
53.3334,38,-634.863556
55.4755,39,-634.863556
57.4408,40,-634.863556
59.6858,41,-634.863556
61.8180,42,-484.650375
63.5321,43,-484.650375
65.0420,44,-484.650375
66.7172,45,-484.650375
68.5567,46,-420.676910
70.4073,47,-420.676910
72.3473,48,-420.676910
74.4329,49,-420.676910
76.6198,50,-420.676910
78.6570,51,-420.676910
80.3749,52,-420.676910
82.5612,53,-420.676910
84.8195,54,-420.676910
86.7890,55,-420.676910
89.3915,56,-404.269440
91.3482,57,-400.587418
93.7785,58,-383.971985
96.4086,59,-383.971985
98.7181,60,-371.196167
101.1216,61,-371.196167
103.2842,62,-371.196167
105.7478,63,-371.196167
107.9525,64,-371.196167
110.3283,65,-371.196167
113.1017,66,-370.559448
115.5541,67,-370.559448
117.5366,68,-370.559448
119.8435,69,-370.559448
121.8007,70,-369.056976
124.5420,71,-369.056976
126.8711,72,-369.056976
128.8775,73,-369.056976
