SEED: 257261065
BEST: -42.14520263671875
t,generation,fitness
1.8683,0,-2986.026779
3.1515,1,-2986.026779
4.1013,2,-2056.115784
5.1026,3,-2056.115784
5.7976,4,-2056.115784
6.8937,5,-2056.115784
9.0895,6,-2056.115784
10.1566,7,-2056.115784
10.8952,8,-866.876450
11.7124,9,-866.876450
13.2531,10,-866.876450
14.7637,11,-866.876450
17.2478,12,-866.876450
18.6932,13,-239.856476
20.0288,14,-239.856476
21.9067,15,-239.856476
22.6899,16,-239.856476
24.0013,17,-239.856476
25.2497,18,-239.856476
26.2734,19,-120.908340
27.8246,20,-111.782059
28.8200,21,-111.782059
29.8463,22,-111.782059
31.0565,23,-92.550674
32.7413,24,-92.550674
34.1460,25,-92.550674
35.6695,26,-92.550674
36.9585,27,-92.550674
39.1814,28,-92.550674
40.8267,29,-92.550674
42.5172,30,-92.550674
43.6718,31,-63.439224
45.7989,32,-63.439224
47.0839,33,-63.439224
48.7389,34,-63.439224
50.6549,35,-63.439224
51.6164,36,-63.439224
52.4855,37,-63.439224
53.1574,38,-63.439224
54.1934,39,-63.439224
55.1895,40,-63.439224
58.5784,41,-63.439224
59.3783,42,-63.439224
60.0083,43,-63.439224
60.6015,44,-63.439224
61.4742,45,-63.439224
62.9335,46,-63.439224
63.3655,47,-63.439224
64.7749,48,-53.079620
65.3575,49,-53.079620
66.2897,50,-53.079620
67.2972,51,-53.079620
68.3099,52,-53.079620
69.4817,53,-50.421265
71.0893,54,-50.421265
72.2939,55,-50.421265
73.6697,56,-50.421265
74.6636,57,-50.421265
75.6381,58,-50.421265
76.8240,59,-50.421265
78.8375,60,-50.421265
80.9712,61,-50.421265
82.7204,62,-50.421265
84.8350,63,-50.421265
86.2217,64,-50.421265
87.6619,65,-50.421265
89.7132,66,-50.421265
91.0253,67,-50.421265
92.8892,68,-50.421265
95.4478,69,-50.421265
97.0481,70,-50.421265
98.0878,71,-50.421265
99.7220,72,-50.421265
101.0455,73,-50.421265
102.9574,74,-50.421265
104.6589,75,-50.421265
106.4022,76,-50.421265
107.2640,77,-50.421265
109.3542,78,-50.421265
111.4780,79,-50.421265
112.8298,80,-50.421265
114.2882,81,-50.421265
116.3878,82,-50.421265
117.4025,83,-50.421265
118.6768,84,-50.421265
120.1038,85,-50.421265
121.3263,86,-50.421265
122.9934,87,-50.421265
124.9891,88,-50.421265
126.2814,89,-50.421265
127.8609,90,-50.421265
130.0947,91,-50.421265
131.3520,92,-50.421265
132.6833,93,-50.421265
133.8813,94,-50.421265
135.4934,95,-50.421265
137.5684,96,-50.421265
139.3771,97,-50.421265
140.6778,98,-50.421265
142.6139,99,-50.421265
143.7766,100,-50.421265
144.8903,101,-50.421265
146.9510,102,-50.421265
147.4937,103,-50.421265
149.7415,104,-50.421265
150.6469,105,-50.421265
151.6372,106,-50.421265
152.9935,107,-50.421265
154.8709,108,-50.421265
156.2061,109,-50.421265
157.8854,110,-50.421265
159.4695,111,-50.421265
160.3928,112,-50.421265
163.4214,113,-50.421265
164.8132,114,-50.421265
165.9494,115,-50.421265
167.6414,116,-50.421265
168.7099,117,-50.421265
170.8274,118,-50.421265
171.8177,119,-50.421265
173.2126,120,-50.421265
174.2241,121,-50.421265
175.6250,122,-50.421265
177.3567,123,-50.421265
178.5668,124,-50.421265
181.6960,125,-50.421265
182.8812,126,-50.421265
184.5778,127,-50.421265
187.5491,128,-50.421265
189.1858,129,-50.421265
190.2206,130,-50.421265
191.2014,131,-50.421265
193.1854,132,-50.421265
195.5081,133,-50.421265
196.5986,134,-50.421265
197.6698,135,-50.421265
