SEED: 4249877777
BEST: -516.0944976806641
t,generation,fitness
1.5856,0,-1895.141830
2.4533,1,-1895.141830
3.0806,2,-1895.141830
3.4884,3,-1895.141830
4.2405,4,-1895.141830
5.1033,5,-969.013000
6.1442,6,-969.013000
6.9582,7,-969.013000
7.7719,8,-969.013000
9.0111,9,-969.013000
10.1587,10,-969.013000
11.2215,11,-969.013000
12.3514,12,-969.013000
13.2765,13,-969.013000
14.3652,14,-969.013000
15.2991,15,-928.079208
16.4114,16,-928.079208
17.5953,17,-928.079208
18.5429,18,-928.079208
19.5903,19,-928.079208
20.7236,20,-928.079208
21.7294,21,-928.079208
22.7566,22,-928.079208
23.7030,23,-928.079208
24.5785,24,-919.919022
25.0705,25,-919.919022
25.8990,26,-919.919022
26.9708,27,-919.919022
27.9481,28,-919.919022
29.1124,29,-919.919022
30.1783,30,-919.919022
31.0878,31,-919.919022
32.1515,32,-919.919022
33.0825,33,-821.212433
34.1031,34,-821.212433
35.0423,35,-821.212433
36.2247,36,-821.212433
37.4490,37,-821.212433
38.5899,38,-821.212433
39.5526,39,-821.212433
40.4976,40,-786.974915
41.5561,41,-786.974915
42.6928,42,-786.974915
43.7461,43,-786.974915
44.7787,44,-786.974915
45.9277,45,-786.974915
46.9424,46,-786.974915
47.9492,47,-786.974915
48.9499,48,-786.974915
49.8168,49,-786.974915
50.9054,50,-786.974915
52.0001,51,-786.974915
53.0570,52,-786.974915
53.9169,53,-786.974915
54.8748,54,-786.974915
56.0159,55,-786.974915
56.8697,56,-786.974915
58.0501,57,-786.974915
59.1277,58,-786.974915
60.1543,59,-786.974915
61.1963,60,-786.974915
62.2827,61,-786.974915
63.3331,62,-786.974915
64.2501,63,-786.974915
65.2001,64,-786.974915
66.3551,65,-786.974915
67.4926,66,-786.974915
68.6067,67,-786.974915
69.5496,68,-786.974915
70.5534,69,-786.974915
71.4956,70,-786.974915
72.5604,71,-786.974915
73.5573,72,-786.974915
74.7740,73,-786.974915
