SEED: 3577570353
BEST: -314.1018829345703
t,generation,fitness
2.2160,0,-1423.731262
3.3958,1,-1423.731262
4.6632,2,-1423.731262
5.9010,3,-1423.731262
6.6842,4,-1423.731262
7.3751,5,-1423.731262
8.2753,6,-1423.731262
9.9148,7,-1420.251328
10.7997,8,-1420.251328
12.3360,9,-1420.251328
13.3759,10,-1420.251328
14.6549,11,-523.360291
15.9412,12,-523.360291
16.9650,13,-523.360291
18.4114,14,-523.360291
19.5152,15,-523.360291
20.8695,16,-523.360291
21.4644,17,-523.360291
22.4914,18,-523.360291
23.7317,19,-523.360291
24.7633,20,-523.360291
25.4797,21,-523.360291
26.3554,22,-523.360291
27.6876,23,-523.360291
28.7036,24,-508.368881
29.6599,25,-508.368881
31.0873,26,-508.368881
31.8062,27,-508.368881
32.8597,28,-508.368881
34.0876,29,-508.368881
35.5604,30,-508.368881
37.1155,31,-508.368881
37.8040,32,-508.368881
38.7873,33,-508.368881
40.0426,34,-508.368881
40.8157,35,-508.368881
42.1673,36,-508.368881
43.4535,37,-508.368881
44.3226,38,-508.368881
44.9810,39,-508.368881
45.9079,40,-508.368881
46.9142,41,-508.368881
48.0557,42,-508.368881
49.3678,43,-508.368881
50.5245,44,-444.514084
51.4010,45,-444.514084
52.5076,46,-444.514084
53.4506,47,-444.514084
54.6189,48,-444.514084
55.3992,49,-444.514084
56.3527,50,-444.514084
57.3035,51,-444.514084
58.3443,52,-444.514084
59.2513,53,-444.514084
59.8037,54,-444.514084
60.6557,55,-444.514084
62.4402,56,-444.514084
63.3435,57,-444.514084
64.8275,58,-444.514084
65.8264,59,-444.514084
67.0673,60,-444.514084
67.5715,61,-444.514084
68.8114,62,-444.514084
69.9235,63,-444.514084
71.0882,64,-444.514084
71.9155,65,-444.514084
72.4827,66,-444.514084
73.0165,67,-444.514084
74.4557,68,-444.514084
75.3129,69,-444.514084
75.7181,70,-444.514084
76.6118,71,-444.514084
77.8436,72,-444.514084
78.4641,73,-444.514084
79.4482,74,-444.514084
79.5454,75,-444.514084
80.4473,76,-444.514084
81.7325,77,-444.514084
82.3271,78,-444.514084
83.1277,79,-444.514084
84.0116,80,-444.514084
84.8159,81,-444.514084
85.6581,82,-444.514084
86.1167,83,-444.514084
86.9238,84,-444.514084
87.5673,85,-444.514084
88.2480,86,-444.514084
89.1035,87,-444.514084
90.0422,88,-444.514084
90.5523,89,-444.514084
91.1397,90,-444.514084
92.1689,91,-444.514084
93.0917,92,-444.514084
93.5994,93,-444.514084
94.5458,94,-444.514084
95.1244,95,-444.514084
95.7157,96,-444.514084
96.2273,97,-444.514084
97.2804,98,-444.514084
98.4522,99,-444.514084
99.6628,100,-444.514084
100.2647,101,-444.514084
100.9685,102,-444.514084
101.9793,103,-444.514084
103.2395,104,-444.514084
104.4099,105,-444.514084
105.5640,106,-444.514084
106.8437,107,-444.514084
107.7480,108,-444.514084
108.7439,109,-444.514084
109.6558,110,-444.514084
110.6791,111,-444.514084
111.3953,112,-444.514084
112.7557,113,-444.514084
113.3832,114,-444.514084
114.7599,115,-444.514084
115.4440,116,-444.514084
115.9474,117,-444.514084
116.9973,118,-444.514084
118.0035,119,-444.514084
118.6106,120,-444.514084
119.4508,121,-444.514084
120.6357,122,-444.514084
122.0841,123,-444.514084
123.0797,124,-444.514084
124.2796,125,-444.514084
125.7769,126,-444.514084
127.0915,127,-444.514084
128.1074,128,-444.514084
129.6689,129,-444.514084
130.5876,130,-444.514084
131.4888,131,-444.514084
132.8198,132,-444.514084
133.7388,133,-444.514084
134.2157,134,-444.514084
135.4724,135,-444.514084
136.1123,136,-444.514084
137.2293,137,-444.514084
137.3229,138,-444.514084
138.3065,139,-444.514084
139.4636,140,-444.514084
140.2146,141,-444.514084
141.2717,142,-444.514084
142.4488,143,-444.514084
143.2252,144,-444.514084
144.1434,145,-444.514084
145.6476,146,-444.514084
146.2956,147,-444.514084
147.0345,148,-444.514084
148.1319,149,-444.514084
149.2742,150,-444.514084
150.5236,151,-444.514084
151.5842,152,-444.514084
152.4486,153,-444.514084
153.0915,154,-444.514084
154.5758,155,-444.514084
155.1875,156,-444.514084
156.1356,157,-444.514084
157.1763,158,-444.514084
158.1240,159,-444.514084
159.5328,160,-444.514084
160.5117,161,-444.514084
161.9164,162,-444.514084
163.3315,163,-444.514084
164.4215,164,-444.514084
165.3540,165,-444.514084
166.5572,166,-444.514084
167.6878,167,-444.514084
168.3505,168,-444.514084
169.0324,169,-444.514084
169.5794,170,-444.514084
170.7419,171,-444.514084
171.5997,172,-444.514084
173.0851,173,-444.514084
174.0714,174,-444.514084
175.0489,175,-444.514084
175.5838,176,-444.514084
176.6515,177,-444.514084
177.1236,178,-444.514084
178.2286,179,-444.514084
178.9797,180,-444.514084
179.6681,181,-444.514084
180.3721,182,-444.514084
181.0277,183,-444.514084
182.1333,184,-444.514084
182.8952,185,-444.514084
183.9238,186,-444.514084
184.3977,187,-444.514084
184.9356,188,-444.514084
186.1156,189,-444.514084
187.7838,190,-444.514084
188.2977,191,-444.514084
189.2034,192,-444.514084
189.6959,193,-444.514084
190.8748,194,-444.514084
191.7154,195,-444.514084
193.0798,196,-444.514084
193.6307,197,-444.514084
194.5765,198,-444.514084
195.4079,199,-444.514084
196.3877,200,-444.514084
196.9724,201,-444.514084
197.4493,202,-444.514084
197.9711,203,-444.514084
199.0315,204,-444.514084
200.4141,205,-444.514084
201.6447,206,-444.514084
202.6914,207,-444.514084
203.8715,208,-444.514084
205.2234,209,-444.514084
206.3119,210,-444.514084
206.7912,211,-444.514084
208.0087,212,-444.514084
208.9793,213,-444.514084
209.9955,214,-444.514084
210.6545,215,-444.514084
211.7717,216,-444.514084
212.7114,217,-444.514084
213.2605,218,-444.514084
214.7348,219,-444.514084
215.3555,220,-444.514084
216.1193,221,-444.514084
217.1914,222,-444.514084
218.3446,223,-444.514084
218.8128,224,-444.514084
219.9012,225,-444.514084
220.6158,226,-444.514084
221.8728,227,-444.514084
222.4239,228,-444.514084
223.4917,229,-444.514084
224.4407,230,-444.514084
225.4795,231,-444.514084
226.4958,232,-444.514084
227.0995,233,-444.514084
227.8487,234,-444.514084
228.9037,235,-444.514084
229.3830,236,-444.514084
230.4636,237,-444.514084
230.8373,238,-444.514084
232.1999,239,-444.514084
232.9413,240,-444.514084
233.7518,241,-444.514084
234.6039,242,-444.514084
235.3973,243,-444.514084
235.8996,244,-444.514084
237.2345,245,-444.514084
237.7931,246,-444.514084
238.3356,247,-444.514084
239.1315,248,-444.514084
239.7043,249,-444.514084
240.5977,250,-444.514084
241.7434,251,-444.514084
242.4486,252,-444.514084
243.3753,253,-444.514084
244.3758,254,-444.514084
245.7035,255,-444.514084
246.5867,256,-444.514084
248.2223,257,-444.514084
248.3275,258,-444.514084
249.2599,259,-444.514084
250.1402,260,-444.514084
251.1915,261,-444.514084
251.8718,262,-444.514084
253.0918,263,-433.557983
253.8237,264,-433.557983
254.9451,265,-433.557983
255.9915,266,-433.557983
257.1550,267,-433.557983
257.7641,268,-433.557983
259.1248,269,-433.557983
260.3202,270,-433.557983
261.6716,271,-433.557983
262.7956,272,-433.557983
264.5036,273,-433.557983
265.8634,274,-433.557983
266.5541,275,-433.557983
267.7648,276,-433.557983
268.9436,277,-433.557983
270.5860,278,-433.557983
271.8676,279,-433.557983
273.0837,280,-433.557983
274.5636,281,-433.557983
275.9121,282,-433.557983
276.9242,283,-433.557983
278.3442,284,-433.557983
279.5590,285,-433.557983
280.2998,286,-433.557983
281.2836,287,-433.557983
282.9039,288,-433.557983
283.5749,289,-433.557983
284.9640,290,-433.557983
286.3315,291,-433.557983
287.3639,292,-433.557983
288.6023,293,-433.557983
289.4833,294,-433.557983
291.3078,295,-433.557983
292.5316,296,-433.557983
293.9256,297,-433.557983
