SEED: 1420238413
BEST: -137.1622314453125
t,generation,fitness
1.4345,0,-984.083939
2.0239,1,-984.083939
2.5306,2,-984.083939
3.5156,3,-984.083939
4.4416,4,-984.083939
5.2432,5,-984.083939
6.5874,6,-984.083939
7.4838,7,-984.083939
8.5633,8,-984.083939
9.8415,9,-808.691483
11.5016,10,-526.901794
12.7612,11,-526.901794
13.8424,12,-526.901794
15.0825,13,-526.901794
15.6559,14,-526.901794
16.6295,15,-526.901794
17.4495,16,-526.901794
18.1759,17,-526.901794
18.9698,18,-526.901794
19.7738,19,-526.901794
20.6426,20,-526.901794
21.4424,21,-526.901794
22.1669,22,-526.901794
23.1330,23,-526.901794
24.1103,24,-526.901794
25.2017,25,-526.901794
26.2982,26,-526.901794
27.2316,27,-526.901794
27.7648,28,-526.901794
28.2456,29,-526.901794
29.0721,30,-526.901794
29.4973,31,-526.901794
30.3257,32,-505.741821
30.9091,33,-505.741821
31.5964,34,-505.741821
31.6980,35,-505.741821
31.7880,36,-505.741821
32.1898,37,-505.741821
32.6002,38,-505.741821
33.1543,39,-505.741821
34.3574,40,-505.741821
35.4449,41,-505.741821
35.9388,42,-505.741821
36.0305,43,-505.741821
36.5337,44,-243.302780
36.9934,45,-243.302780
37.4908,46,-243.302780
37.9342,47,-243.302780
38.7183,48,-243.302780
39.1651,49,-242.115967
39.7993,50,-242.115967
40.4679,51,-240.191086
41.4178,52,-240.191086
42.2949,53,-240.191086
43.0126,54,-231.495331
43.4476,55,-231.495331
44.5667,56,-231.495331
45.4179,57,-231.495331
46.0869,58,-231.495331
46.8528,59,-231.495331
47.3546,60,-231.495331
47.8731,61,-231.495331
48.7199,62,-231.495331
49.1537,63,-231.495331
49.6284,64,-231.495331
50.4368,65,-231.495331
50.8951,66,-231.495331
51.9026,67,-231.495331
53.5228,68,-231.495331
54.9586,69,-231.495331
55.7830,70,-231.495331
57.0101,71,-231.495331
57.8135,72,-231.495331
58.5117,73,-231.495331
59.1007,74,-231.495331
59.5405,75,-231.495331
60.7783,76,-231.495331
61.6503,77,-231.495331
62.0728,78,-231.495331
62.9846,79,-231.495331
63.4586,80,-231.495331
64.5205,81,-231.495331
65.4222,82,-231.495331
66.6966,83,-231.495331
67.1973,84,-231.495331
67.7497,85,-231.495331
68.6605,86,-231.495331
69.6237,87,-231.495331
70.4937,88,-231.495331
71.0879,89,-231.495331
71.8704,90,-231.495331
72.3703,91,-231.495331
73.2849,92,-231.495331
74.5062,93,-231.495331
74.9738,94,-231.495331
75.9708,95,-231.495331
76.8246,96,-231.495331
77.7898,97,-231.495331
78.3132,98,-231.495331
78.8397,99,-231.495331
79.6731,100,-231.495331
80.6208,101,-231.495331
81.5231,102,-231.495331
82.3034,103,-231.495331
83.0677,104,-231.495331
83.9833,105,-231.495331
84.4951,106,-231.495331
85.5086,107,-231.495331
86.9697,108,-231.495331
87.8079,109,-231.495331
88.8582,110,-231.495331
89.5647,111,-231.495331
90.2453,112,-231.495331
91.0802,113,-231.495331
91.9338,114,-231.495331
92.3665,115,-231.495331
93.3811,116,-231.495331
94.3591,117,-231.495331
94.9283,118,-231.495331
95.6983,119,-231.495331
96.6130,120,-231.495331
97.4345,121,-231.495331
98.1753,122,-231.495331
99.1740,123,-231.495331
99.9898,124,-231.495331
100.4140,125,-231.495331
101.3668,126,-231.495331
102.9066,127,-231.495331
103.7504,128,-231.495331
104.5816,129,-231.495331
105.2902,130,-231.495331
106.1794,131,-231.495331
106.9980,132,-231.495331
107.5093,133,-231.495331
107.9856,134,-231.495331
108.8091,135,-231.495331
109.6856,136,-231.495331
110.2793,137,-231.495331
111.0020,138,-231.495331
111.8280,139,-231.495331
112.3792,140,-231.495331
113.3619,141,-231.495331
114.0723,142,-231.495331
114.5963,143,-231.495331
115.0829,144,-231.495331
115.5351,145,-231.495331
116.4109,146,-231.495331
116.9788,147,-231.495331
117.8179,148,-231.495331
118.1849,149,-231.495331
118.9300,150,-231.495331
119.4283,151,-231.495331
119.9143,152,-231.495331
120.5610,153,-231.495331
121.0428,154,-231.495331
121.8957,155,-231.495331
122.8625,156,-231.495331
123.6865,157,-231.495331
124.5354,158,-231.495331
125.4217,159,-231.495331
126.1903,160,-231.495331
126.9850,161,-231.495331
127.4851,162,-231.495331
127.9419,163,-231.495331
128.2897,164,-231.495331
129.1495,165,-231.495331
129.8218,166,-231.495331
131.7620,167,-231.495331
133.2098,168,-231.495331
134.1149,169,-231.495331
135.0741,170,-231.495331
135.9459,171,-231.495331
136.5300,172,-231.495331
137.4599,173,-231.495331
138.2926,174,-231.495331
139.4257,175,-231.495331
139.8628,176,-231.495331
140.7457,177,-231.495331
141.2172,178,-231.495331
141.9602,179,-231.495331
143.1240,180,-231.495331
143.5549,181,-231.495331
144.2853,182,-231.495331
145.6279,183,-231.495331
146.4821,184,-231.495331
147.1646,185,-231.495331
147.9809,186,-231.495331
149.0432,187,-231.495331
149.5438,188,-231.495331
150.1007,189,-231.495331
150.7785,190,-231.495331
151.5848,191,-231.495331
152.7482,192,-231.495331
153.2489,193,-231.495331
154.2158,194,-231.495331
155.2590,195,-231.495331
155.7636,196,-231.495331
156.3565,197,-231.495331
157.2155,198,-231.495331
157.7170,199,-231.495331
158.5495,200,-231.495331
159.1450,201,-231.495331
159.7832,202,-231.495331
160.2197,203,-231.495331
161.0870,204,-231.495331
161.9662,205,-231.495331
162.3617,206,-231.495331
163.5904,207,-231.495331
164.5264,208,-231.495331
165.0483,209,-231.495331
165.5969,210,-231.495331
166.1620,211,-231.495331
167.1580,212,-231.495331
167.9804,213,-231.495331
168.4883,214,-231.495331
169.3110,215,-231.495331
169.7809,216,-231.495331
170.3164,217,-231.495331
170.7574,218,-231.495331
171.5613,219,-231.495331
172.1222,220,-231.495331
173.6684,221,-231.495331
174.6834,222,-231.495331
175.1267,223,-231.495331
175.9981,224,-231.495331
177.0712,225,-231.495331
177.9546,226,-231.495331
178.9907,227,-231.495331
179.7962,228,-231.495331
180.3810,229,-231.495331
180.9873,230,-231.495331
181.9254,231,-231.495331
182.3716,232,-231.495331
182.7383,233,-231.495331
183.1517,234,-231.495331
183.6654,235,-231.495331
184.7626,236,-231.495331
185.8661,237,-231.495331
187.0526,238,-231.495331
188.0109,239,-231.495331
188.4501,240,-231.495331
189.1726,241,-231.495331
189.6599,242,-231.495331
190.8004,243,-231.495331
191.6625,244,-231.495331
192.2012,245,-231.495331
193.1087,246,-231.495331
193.5846,247,-231.495331
194.2704,248,-231.495331
194.7767,249,-231.495331
195.7071,250,-231.495331
196.5485,251,-231.495331
196.6401,252,-231.495331
197.0719,253,-231.495331
197.5153,254,-231.495331
198.1279,255,-231.495331
198.6171,256,-231.495331
199.3074,257,-231.495331
200.1579,258,-231.495331
200.6282,259,-231.495331
201.4366,260,-231.495331
201.8790,261,-231.495331
202.4019,262,-231.495331
202.9061,263,-231.495331
203.7565,264,-231.495331
204.6582,265,-231.495331
205.1393,266,-231.495331
205.8841,267,-231.495331
206.6783,268,-231.495331
207.6917,269,-231.495331
208.4992,270,-231.495331
209.4902,271,-231.495331
210.0557,272,-231.495331
210.8475,273,-231.495331
211.2854,274,-231.495331
212.4149,275,-231.495331
213.4701,276,-231.495331
214.0036,277,-231.495331
214.8295,278,-231.495331
215.8216,279,-231.495331
216.7596,280,-231.495331
217.1813,281,-231.495331
217.7322,282,-231.495331
218.2697,283,-231.495331
219.2165,284,-231.495331
219.6894,285,-231.495331
220.6068,286,-203.525131
221.4165,287,-203.525131
222.4232,288,-203.525131
223.4387,289,-203.525131
224.7021,290,-203.525131
225.8727,291,-169.219315
226.6105,292,-169.219315
227.7747,293,-169.219315
228.9002,294,-169.219315
230.3875,295,-169.219315
231.6776,296,-159.448227
233.1219,297,-159.448227
234.8003,298,-159.448227
236.0821,299,-159.448227
237.8419,300,-159.448227
238.8767,301,-159.448227
240.1169,302,-158.881546
241.2257,303,-158.881546
242.6014,304,-158.881546
244.0082,305,-158.881546
244.8061,306,-158.881546
246.4461,307,-158.881546
247.9942,308,-158.881546
249.5437,309,-158.881546
250.8710,310,-158.856049
252.0661,311,-158.856049
253.4985,312,-158.856049
255.0738,313,-158.856049
256.5194,314,-158.856049
257.8847,315,-158.856049
259.4029,316,-158.856049
260.5078,317,-158.856049
261.6765,318,-158.856049
262.9247,319,-158.856049
264.2060,320,-158.856049
265.8144,321,-158.856049
267.1578,322,-158.856049
268.4416,323,-158.856049
269.7678,324,-158.856049
271.0284,325,-158.856049
273.1188,326,-158.856049
274.2297,327,-158.856049
275.4320,328,-158.856049
276.7031,329,-158.856049
277.8467,330,-158.856049
279.1533,331,-158.856049
280.2731,332,-158.856049
281.4908,333,-158.856049
282.9253,334,-149.897766
284.0556,335,-149.897766
285.4713,336,-149.897766
287.9639,337,-149.897766
289.2497,338,-149.897766
290.2945,339,-149.897766
291.5897,340,-149.897766
293.1693,341,-149.897766
294.6398,342,-149.897766
295.6939,343,-149.897766
296.7828,344,-148.732819
297.9166,345,-148.732819
300.0671,346,-148.732819
301.3045,347,-148.732819
302.7539,348,-148.732819
304.4249,349,-148.732819
306.0020,350,-148.732819
307.5237,351,-148.732819
308.8751,352,-148.732819
310.9366,353,-148.732819
312.4018,354,-148.732819
314.0124,355,-148.732819
315.4194,356,-148.732819
317.6707,357,-148.732819
318.5830,358,-148.732819
321.1427,359,-148.732819
322.6502,360,-148.732819
324.0537,361,-148.732819
325.0765,362,-148.732819
326.3699,363,-146.702759
327.9100,364,-146.702759
328.8702,365,-146.702759
330.7882,366,-146.702759
332.4575,367,-146.702759
334.4699,368,-146.702759
336.0007,369,-146.702759
337.3696,370,-146.702759
338.5409,371,-146.702759
340.0057,372,-146.702759
341.1024,373,-146.702759
