SEED: 1013668974
BEST: -158.81649780273438
t,generation,fitness
1.7643,0,-1468.269882
3.3544,1,-1468.269882
4.3457,2,-1468.269882
4.8640,3,-1231.212738
5.9543,4,-1231.212738
6.0683,5,-1231.212738
7.1971,6,-928.020294
8.1457,7,-928.020294
9.1932,8,-928.020294
10.1991,9,-928.020294
11.1903,10,-928.020294
12.1206,11,-928.020294
12.9377,12,-616.554535
13.8154,13,-616.554535
14.7990,14,-616.554535
15.2945,15,-616.554535
16.1323,16,-571.954926
16.6026,17,-571.954926
17.4181,18,-571.954926
17.8285,19,-571.954926
18.7032,20,-571.954926
19.2516,21,-571.954926
20.1449,22,-571.954926
20.7931,23,-571.954926
21.5833,24,-571.954926
22.2806,25,-571.954926
23.2680,26,-456.805283
24.4601,27,-456.805283
25.2397,28,-456.805283
26.4993,29,-456.805283
27.8221,30,-456.805283
28.4956,31,-456.805283
29.5452,32,-456.805283
31.0178,33,-456.805283
32.2309,34,-456.805283
33.4753,35,-404.545822
34.4752,36,-404.545822
35.3760,37,-404.545822
37.0481,38,-404.545822
38.3735,39,-404.545822
39.6389,40,-404.545822
40.9122,41,-404.545822
41.9777,42,-404.545822
43.2710,43,-404.545822
44.0726,44,-387.693817
45.3097,45,-387.693817
46.3858,46,-387.693817
47.2669,47,-387.693817
48.3351,48,-387.693817
49.5408,49,-387.693817
50.8861,50,-387.693817
52.2101,51,-387.693817
53.2637,52,-387.693817
54.6294,53,-387.693817
55.3429,54,-387.693817
56.7042,55,-387.693817
57.8470,56,-387.693817
59.1418,57,-387.693817
60.3331,58,-387.693817
61.4830,59,-387.693817
62.7070,60,-387.693817
63.8160,61,-342.453857
65.0890,62,-342.453857
66.6740,63,-342.453857
67.8548,64,-342.453857
69.1089,65,-342.453857
70.3701,66,-328.134430
71.4868,67,-328.134430
72.4858,68,-328.134430
73.5134,69,-328.134430
74.2222,70,-328.134430
75.4150,71,-328.134430
75.9971,72,-328.134430
77.0649,73,-328.134430
78.0931,74,-325.795471
78.8875,75,-325.795471
80.1969,76,-270.140625
81.3178,77,-270.140625
82.2873,78,-270.140625
82.7847,79,-270.140625
83.5247,80,-270.140625
84.4812,81,-270.140625
85.5474,82,-270.140625
86.6570,83,-270.140625
87.9233,84,-263.166412
88.9731,85,-255.058060
90.2418,86,-255.058060
91.5807,87,-255.058060
92.8839,88,-255.058060
93.7664,89,-255.058060
94.3700,90,-255.058060
95.7394,91,-255.058060
97.2195,92,-255.058060
98.7324,93,-255.058060
100.0223,94,-255.058060
101.0713,95,-255.058060
101.6857,96,-255.058060
102.6330,97,-219.752502
103.8584,98,-219.752502
105.0576,99,-219.752502
105.5013,100,-219.752502
106.4386,101,-210.925812
107.3274,102,-210.925812
108.1928,103,-210.925812
109.1928,104,-210.925812
110.1251,105,-210.925812
110.9706,106,-210.925812
112.1490,107,-210.925812
113.1199,108,-210.925812
113.5769,109,-210.925812
114.5040,110,-210.925812
115.6827,111,-210.925812
116.7235,112,-210.925812
117.6885,113,-210.925812
118.5119,114,-210.925812
119.5774,115,-210.925812
120.6202,116,-210.925812
121.5685,117,-210.925812
122.3932,118,-210.925812
123.1421,119,-210.925812
123.7180,120,-210.925812
124.2375,121,-210.925812
125.1708,122,-210.925812
125.9835,123,-210.925812
126.5364,124,-210.925812
127.3674,125,-210.925812
128.3235,126,-210.925812
129.3276,127,-210.925812
130.2068,128,-210.925812
131.1152,129,-210.925812
131.7800,130,-210.925812
132.8414,131,-210.925812
133.6817,132,-210.925812
134.5661,133,-210.925812
135.3959,134,-210.925812
136.2786,135,-210.925812
137.2271,136,-208.084183
138.1626,137,-208.084183
139.2013,138,-208.084183
139.7712,139,-208.084183
140.8602,140,-208.084183
141.7450,141,-208.084183
142.8189,142,-208.084183
143.9739,143,-208.084183
144.9969,144,-208.084183
145.7081,145,-199.792953
146.7462,146,-199.792953
147.7607,147,-199.792953
148.8738,148,-199.792953
