SEED: 4018362584
BEST: -212.5529022216797
t,generation,fitness
1.7199,0,-1842.707794
2.9098,1,-1842.707794
3.5290,2,-1842.707794
4.5993,3,-1757.535690
6.0620,4,-1757.535690
6.9867,5,-1757.535690
8.0479,6,-1754.859604
9.0034,7,-1754.859604
9.9086,8,-1728.767914
10.9511,9,-1728.767914
11.7692,10,-1728.767914
12.7729,11,-1728.767914
13.6700,12,-1728.767914
14.5371,13,-1575.279831
15.4648,14,-1540.949600
16.4750,15,-1540.949600
17.8658,16,-1540.949600
18.9329,17,-1540.949600
19.8579,18,-1540.949600
20.4430,19,-1540.949600
21.5139,20,-1540.949600
22.7188,21,-1419.896988
24.0874,22,-1419.896988
25.1234,23,-1419.896988
26.6443,24,-1419.896988
27.6269,25,-1419.896988
28.9728,26,-1346.452744
30.6119,27,-1346.452744
31.3146,28,-1345.798462
32.6692,29,-1345.798462
33.3929,30,-1345.798462
34.6141,31,-1340.311371
36.0477,32,-1340.311371
37.1104,33,-1340.311371
38.4882,34,-1340.311371
39.8977,35,-1327.490891
41.1086,36,-1327.490891
42.3442,37,-1312.451523
43.9919,38,-1312.451523
45.5007,39,-895.114731
46.7538,40,-895.114731
48.7162,41,-895.114731
50.0114,42,-895.114731
50.9321,43,-895.114731
52.4926,44,-895.114731
53.2761,45,-895.114731
53.9304,46,-895.114731
55.1156,47,-888.815582
56.9042,48,-888.815582
58.0912,49,-876.029892
59.3560,50,-876.029892
60.3561,51,-876.029892
61.7869,52,-876.029892
63.1688,53,-876.029892
64.7195,54,-876.029892
66.3381,55,-876.029892
66.8690,56,-876.029892
68.0168,57,-876.029892
69.0067,58,-876.029892
73.2301,59,-876.029892
74.6355,60,-876.029892
76.0684,61,-876.029892
77.7751,62,-843.826279
79.3768,63,-843.826279
81.5040,64,-774.253265
83.1433,65,-774.253265
84.5795,66,-774.253265
86.3069,67,-774.253265
88.7897,68,-756.959381
90.5978,69,-756.959381
92.4837,70,-604.713196
94.8316,71,-604.713196
96.5700,72,-604.713196
99.1436,73,-600.971924
101.3643,74,-600.971924
104.4037,75,-600.971924
106.7939,76,-600.971924
108.6897,77,-600.971924
110.5673,78,-600.971924
112.8924,79,-600.971924
114.3240,80,-600.971924
116.7325,81,-600.971924
118.5627,82,-600.971924
120.4161,83,-600.971924
122.2472,84,-600.971924
123.8530,85,-600.971924
126.5981,86,-600.971924
129.1401,87,-600.971924
130.9159,88,-600.971924
132.5130,89,-600.971924
134.3356,90,-600.971924
136.1895,91,-600.971924
138.1065,92,-600.971924
139.8904,93,-600.971924
141.9652,94,-600.971924
144.6652,95,-600.971924
146.7499,96,-560.996536
151.0951,97,-560.996536
153.3521,98,-560.996536
155.2414,99,-560.996536
157.2418,100,-560.996536
159.1222,101,-560.996536
161.0838,102,-560.996536
162.7445,103,-560.996536
165.2555,104,-560.996536
167.9221,105,-517.808136
169.8197,106,-517.808136
173.1020,107,-517.808136
176.4672,108,-517.808136
178.8079,109,-517.808136
180.7253,110,-517.808136
182.6280,111,-517.808136
184.8317,112,-517.808136
186.6280,113,-517.808136
188.5043,114,-517.808136
190.0841,115,-517.808136
192.6697,116,-457.251404
194.1526,117,-457.251404
195.4575,118,-457.251404
196.9632,119,-419.786026
198.2977,120,-419.786026
199.7315,121,-419.786026
200.8911,122,-419.786026
202.3513,123,-419.786026
203.9107,124,-419.786026
206.0275,125,-419.786026
207.4259,126,-419.786026
208.3374,127,-419.786026
209.3611,128,-419.786026
211.2364,129,-419.786026
212.3037,130,-419.786026
213.7974,131,-419.786026
214.8900,132,-419.786026
215.9832,133,-413.919907
217.1232,134,-413.919907
218.2954,135,-305.944351
219.3091,136,-305.944351
220.4060,137,-305.944351
221.3649,138,-305.944351
222.5158,139,-305.944351
223.6042,140,-284.610413
224.6399,141,-284.610413
225.7780,142,-284.610413
226.8763,143,-284.610413
228.0124,144,-284.610413
229.0252,145,-284.610413
229.9440,146,-284.610413
231.0533,147,-284.610413
231.5161,148,-284.610413
232.6374,149,-284.610413
233.8513,150,-284.610413
234.6128,151,-284.610413
235.6007,152,-284.610413
236.6207,153,-284.610413
237.4623,154,-284.610413
238.3548,155,-284.610413
239.4009,156,-284.610413
240.8484,157,-284.610413
242.5126,158,-272.543442
243.6319,159,-272.543442
245.4441,160,-272.543442
246.3947,161,-272.543442
247.4679,162,-272.543442
248.9021,163,-272.543442
249.8570,164,-272.543442
252.0478,165,-272.543442
252.9641,166,-272.543442
254.0062,167,-272.543442
254.9646,168,-272.543442
256.0367,169,-272.543442
257.1087,170,-272.543442
258.1702,171,-272.543442
259.1393,172,-272.543442
259.9956,173,-272.543442
260.8703,174,-272.543442
261.9536,175,-272.543442
262.9350,176,-272.543442
264.2327,177,-272.543442
265.9258,178,-272.543442
267.7264,179,-272.543442
268.7368,180,-272.543442
269.6252,181,-272.543442
270.6600,182,-272.543442
271.6581,183,-272.543442
273.0026,184,-272.543442
274.4458,185,-272.543442
275.3452,186,-272.543442
276.3086,187,-272.543442
277.3016,188,-272.543442
279.2620,189,-272.543442
280.7876,190,-272.543442
282.5620,191,-272.543442
284.7621,192,-272.543442
285.6806,193,-272.543442
286.8609,194,-272.543442
287.9237,195,-272.543442
289.0442,196,-272.543442
289.8329,197,-272.543442
290.9529,198,-272.543442
291.9529,199,-272.543442
293.1275,200,-272.543442
294.2231,201,-272.543442
295.6727,202,-272.543442
296.9325,203,-272.543442
298.3963,204,-272.543442
299.5056,205,-272.543442
301.0453,206,-272.543442
302.5972,207,-272.543442
303.5250,208,-272.543442
304.7708,209,-272.543442
306.6133,210,-272.543442
307.6137,211,-272.543442
308.7692,212,-272.543442
