SEED: 1510945632
BEST: -550.350830078125
t,generation,fitness
3.2142,0,-1508.811447
5.0900,1,-1508.811447
8.6178,2,-1502.242493
10.1100,3,-1502.242493
12.9505,4,-1495.704376
16.0737,5,-1495.704376
19.0177,6,-1495.704376
21.7177,7,-1326.278534
22.9537,8,-1326.278534
25.9018,9,-1252.836380
27.8176,10,-1252.836380
28.6936,11,-1252.836380
29.9217,12,-1252.836380
33.0137,13,-1252.836380
35.0018,14,-1252.836380
37.9617,15,-1252.836380
39.3779,16,-1252.836380
42.4506,17,-1100.901199
46.1539,18,-1100.901199
48.2859,19,-1100.901199
50.9567,20,-1100.901199
54.3555,21,-1100.901199
56.0060,22,-1100.901199
57.8210,23,-1100.901199
60.1140,24,-1100.901199
61.1858,25,-1100.901199
64.5621,26,-1100.901199
67.9700,27,-1100.901199
69.5217,28,-1100.901199
71.2341,29,-1099.800903
72.6219,30,-1099.800903
76.1939,31,-1099.800903
78.9460,32,-1095.768234
80.5659,33,-1095.768234
83.9818,34,-1095.768234
87.4860,35,-1095.768234
88.6338,36,-1095.768234
91.5941,37,-1095.768234
94.9057,38,-1095.768234
96.4261,39,-1095.768234
97.8178,40,-1095.768234
101.5179,41,-1095.768234
103.0166,42,-1063.497177
105.0222,43,-1063.497177
107.7540,44,-1042.661041
109.5578,45,-1042.661041
110.9898,46,-1042.661041
113.4986,47,-1042.661041
114.2457,48,-1042.661041
115.4417,49,-1042.661041
117.2578,50,-1035.517899
119.2140,51,-1035.517899
121.5938,52,-1035.517899
124.4016,53,-959.164246
126.0739,54,-959.164246
127.9860,55,-959.164246
129.9100,56,-959.164246
133.1620,57,-959.164246
134.5497,58,-959.164246
137.0736,59,-942.204102
139.0738,60,-942.204102
140.7901,61,-942.204102
142.6538,62,-942.204102
144.7662,63,-942.204102
146.8418,64,-942.204102
149.3936,65,-942.204102
150.5377,66,-907.386963
151.8620,67,-907.386963
154.1419,68,-907.386963
155.0497,69,-907.386963
155.1724,70,-907.386963
155.6379,71,-907.386963
156.6418,72,-907.386963
157.4108,73,-907.386963
157.8980,74,-907.386963
159.0824,75,-907.386963
160.6817,76,-907.386963
161.8737,77,-907.386963
161.9804,78,-907.386963
163.4060,79,-861.481049
163.9898,80,-861.481049
165.1662,81,-861.481049
167.0663,82,-861.481049
167.1814,83,-861.481049
168.7662,84,-832.925293
170.0259,85,-832.925293
172.2739,86,-832.925293
173.6021,87,-832.925293
174.8819,88,-832.925293
177.5878,89,-832.925293
180.2781,90,-832.925293
182.7180,91,-832.925293
185.1868,92,-832.925293
187.5255,93,-832.925293
190.7092,94,-832.925293
193.0938,95,-832.925293
194.6297,96,-832.925293
197.2018,97,-832.925293
198.8978,98,-832.925293
202.2739,99,-832.925293
204.0659,100,-832.925293
206.6701,101,-832.925293
207.8358,102,-832.925293
209.5937,103,-832.925293
210.4697,104,-832.925293
212.4578,105,-832.925293
213.5299,106,-832.925293
215.2100,107,-832.925293
217.8579,108,-832.925293
220.0625,109,-832.925293
222.2860,110,-832.925293
223.8616,111,-832.925293
225.3221,112,-832.925293
226.5338,113,-832.925293
229.2218,114,-832.925293
230.3535,115,-824.942001
232.6379,116,-824.942001
233.7348,117,-824.942001
235.4384,118,-824.942001
237.2100,119,-824.942001
238.2145,120,-823.536179
239.5379,121,-823.536179
241.2340,122,-823.536179
242.2218,123,-794.975204
244.8698,124,-794.975204
246.2298,125,-794.975204
247.7541,126,-794.975204
249.3778,127,-794.975204
250.8503,128,-794.975204
253.2941,129,-794.975204
254.5699,130,-794.975204
255.4178,131,-794.975204
256.8217,132,-794.975204
258.7018,133,-794.975204
260.9779,134,-748.635910
262.7777,135,-748.635910
265.5222,136,-748.635910
268.1861,137,-748.635910
269.1942,138,-748.635910
270.5058,139,-748.635910
271.8659,140,-748.635910
273.1006,141,-748.635910
275.4223,142,-748.635910
276.7781,143,-740.702301
279.0820,144,-649.022202
281.7178,145,-649.022202
283.7659,146,-649.022202
285.1062,147,-649.022202
287.4422,148,-649.022202
288.2381,149,-649.022202
290.4381,150,-633.164352
292.0224,151,-633.164352
294.3417,152,-633.164352
294.9954,153,-633.164352
296.7980,154,-633.164352
299.1699,155,-633.164352
301.5837,156,-633.164352
302.8345,157,-633.164352
303.9139,158,-633.164352
306.6178,159,-633.164352
309.4100,160,-592.148346
310.7660,161,-592.148346
313.5937,162,-592.148346
315.3621,163,-592.148346
316.4898,164,-592.148346
318.8737,165,-592.148346
320.0114,166,-592.148346
321.6307,167,-592.148346
324.0562,168,-592.148346
327.3698,169,-592.148346
330.0979,170,-592.148346
332.3580,171,-592.148346
335.3219,172,-592.148346
336.5219,173,-592.148346
338.2818,174,-592.148346
340.8993,175,-592.148346
343.5741,176,-592.148346
346.7065,177,-592.148346
348.0419,178,-592.148346
349.2338,179,-592.148346
350.0842,180,-592.148346
352.1502,181,-592.148346
353.9019,182,-592.148346
356.6357,183,-592.148346
357.9234,184,-592.148346
360.4619,185,-592.148346
361.9401,186,-592.148346
364.0221,187,-592.148346
365.5059,188,-592.148346
367.8698,189,-592.148346
369.2537,190,-592.148346
371.1036,191,-592.148346
373.7740,192,-592.148346
376.6339,193,-592.148346
377.9578,194,-592.148346
379.1138,195,-592.148346
380.4781,196,-592.148346
382.6659,197,-592.148346
385.3303,198,-592.148346
388.1579,199,-592.148346
389.9819,200,-592.148346
392.1447,201,-592.148346
394.6058,202,-592.148346
397.5473,203,-592.148346
399.6177,204,-592.148346
400.9180,205,-592.148346
403.1658,206,-592.148346
405.6421,207,-578.658890
406.9187,208,-578.658890
410.2378,209,-578.658890
413.1581,210,-578.658890
415.0900,211,-578.658890
417.8538,212,-578.658890
419.6616,213,-578.658890
422.1537,214,-578.658890
424.7459,215,-578.658890
426.0528,216,-578.658890
428.0419,217,-578.658890
429.4626,218,-578.658890
431.3949,219,-578.658890
433.0236,220,-578.658890
435.8348,221,-578.658890
437.8338,222,-578.658890
439.6425,223,-578.658890
439.7836,224,-578.658890
442.3297,225,-578.658890
443.1606,226,-578.658890
445.7097,227,-578.658890
448.4059,228,-578.658890
449.5139,229,-578.658890
452.6061,230,-578.658890
455.1983,231,-578.658890
458.2661,232,-578.658890
460.5661,233,-578.658890
462.4098,234,-578.658890
465.1221,235,-578.658890
466.4578,236,-578.658890
467.6458,237,-578.658890
470.8141,238,-578.658890
474.0619,239,-578.658890
475.6744,240,-578.658890
476.8698,241,-578.658890
478.8178,242,-578.658890
481.3379,243,-578.658890
482.7423,244,-578.658890
485.2458,245,-578.658890
486.2653,246,-578.658890
488.7338,247,-578.658890
491.5984,248,-578.658890
493.5138,249,-578.658890
496.2577,250,-578.658890
498.9857,251,-578.658890
501.6218,252,-578.658890
503.3624,253,-578.658890
504.4698,254,-578.658890
507.5937,255,-578.658890
509.5141,256,-578.658890
511.4899,257,-578.658890
514.4939,258,-578.658890
517.1625,259,-578.658890
519.3457,260,-578.658890
522.2410,261,-578.658890
525.0101,262,-578.658890
527.2498,263,-578.658890
528.4218,264,-578.658890
