SEED: 1749343824
BEST: -307.0707702636719
t,generation,fitness
4.6274,0,-1673.162094
7.2539,1,-1673.162094
8.9780,2,-1673.162094
10.9338,3,-1673.162094
13.4539,4,-1673.162094
15.9466,5,-1673.162094
17.5873,6,-1472.114594
19.3988,7,-1472.114594
21.5428,8,-1472.114594
24.3949,9,-1207.404022
27.4356,10,-1207.404022
29.4643,11,-1207.404022
32.3910,12,-1207.404022
35.7429,13,-1207.404022
38.6432,14,-1207.404022
42.1395,15,-1207.404022
46.4790,16,-1207.404022
50.4628,17,-1207.404022
53.3526,18,-1112.689636
56.6432,19,-1112.689636
59.8624,20,-1112.689636
63.5228,21,-1112.689636
67.0482,22,-1112.689636
69.9913,23,-1112.689636
71.8904,24,-1112.689636
74.2821,25,-1112.689636
77.1139,26,-1112.689636
80.1156,27,-1112.689636
83.1403,28,-1112.689636
85.5796,29,-1112.689636
88.3992,30,-1112.689636
90.6783,31,-1112.689636
92.6380,32,-1112.689636
94.9472,33,-1112.689636
96.9668,34,-1112.689636
99.2268,35,-1095.779312
101.6755,36,-1095.779312
104.0426,37,-1095.779312
106.5705,38,-1017.858673
109.0149,39,-1017.858673
111.8263,40,-1017.858673
114.2420,41,-1017.858673
116.6383,42,-1017.858673
119.5608,43,-741.158234
121.9321,44,-741.158234
123.7100,45,-710.325180
125.9783,46,-710.325180
128.7899,47,-710.325180
130.9865,48,-710.325180
134.0862,49,-710.325180
136.3423,50,-695.309402
138.1866,51,-695.309402
140.2538,52,-695.309402
142.2240,53,-690.474564
143.9548,54,-458.455017
146.6259,55,-458.455017
148.3501,56,-458.455017
150.7081,57,-458.455017
153.3294,58,-458.455017
155.5102,59,-458.455017
157.3144,60,-458.455017
159.8221,61,-458.455017
162.6539,62,-458.455017
165.0342,63,-458.455017
166.8141,64,-458.455017
169.3569,65,-458.455017
171.3461,66,-458.455017
173.9874,67,-458.455017
176.1901,68,-458.455017
178.4259,69,-458.455017
180.7142,70,-458.455017
183.2381,71,-458.455017
186.1580,72,-458.455017
188.1981,73,-458.455017
190.7421,74,-458.455017
192.9780,75,-455.474182
194.7025,76,-448.594727
197.3460,77,-448.594727
200.3098,78,-448.594727
202.9739,79,-448.594727
205.5182,80,-448.594727
207.3463,81,-431.456497
209.8500,82,-431.456497
212.4558,83,-431.456497
215.6219,84,-431.456497
217.5541,85,-431.456497
220.1658,86,-431.456497
223.1469,87,-431.456497
226.7512,88,-431.456497
229.3578,89,-431.456497
231.5500,90,-431.456497
233.8060,91,-431.456497
236.2019,92,-431.456497
238.9061,93,-431.456497
241.8702,94,-416.576233
244.8271,95,-416.576233
246.4129,96,-387.676483
248.1766,97,-387.676483
250.4467,98,-387.676483
252.7698,99,-387.676483
254.7373,100,-387.676483
256.5557,101,-387.676483
258.3462,102,-385.603745
260.4517,103,-385.603745
262.5433,104,-385.603745
264.1182,105,-385.603745
266.7544,106,-385.603745
269.6742,107,-385.603745
272.3259,108,-385.603745
274.5664,109,-385.603745
277.1594,110,-385.603745
280.5460,111,-379.718658
283.2660,112,-379.718658
285.9223,113,-379.718658
288.1949,114,-379.718658
291.0419,115,-379.718658
292.8905,116,-378.621460
294.7820,117,-378.621460
296.6705,118,-376.497803
298.6981,119,-376.497803
301.2720,120,-376.497803
303.6139,121,-376.497803
306.5783,122,-376.497803
308.6739,123,-376.497803
310.3142,124,-373.497330
312.1741,125,-373.497330
313.7540,126,-373.497330
315.8299,127,-373.497330
317.2781,128,-373.497330
319.5728,129,-373.497330
321.8219,130,-373.497330
323.8569,131,-373.497330
326.4221,132,-373.497330
329.0983,133,-373.497330
331.7381,134,-373.497330
333.8861,135,-373.497330
336.4099,136,-373.497330
338.8726,137,-373.497330
341.5022,138,-373.497330
344.1265,139,-373.497330
346.8103,140,-373.497330
349.0262,141,-373.497330
351.8638,142,-373.497330
354.4084,143,-373.497330
357.4182,144,-373.497330
359.8501,145,-373.497330
362.1223,146,-373.497330
364.2422,147,-373.437012
366.5343,148,-373.437012
369.0417,149,-373.437012
371.6940,150,-373.437012
374.2502,151,-372.700134
376.7353,152,-372.700134
379.7104,153,-372.700134
382.4381,154,-372.700134
384.7783,155,-372.700134
387.1031,156,-372.700134
389.2780,157,-372.700134
390.9863,158,-372.700134
393.5663,159,-372.700134
396.2582,160,-372.700134
398.5582,161,-372.700134
401.1064,162,-372.700134
403.2420,163,-372.700134
406.6460,164,-372.700134
410.2903,165,-372.700134
412.3782,166,-372.700134
414.5378,167,-372.700134
417.1662,168,-372.700134
419.6301,169,-372.700134
422.2028,170,-372.700134
424.6900,171,-372.700134
427.7426,172,-372.700134
430.4145,173,-372.700134
433.7019,174,-372.700134
436.6844,175,-372.700134
440.1585,176,-372.700134
442.7381,177,-372.700134
445.1181,178,-369.502563
447.7100,179,-369.502563
450.6459,180,-369.502563
453.3016,181,-369.502563
455.5861,182,-369.502563
458.6321,183,-369.502563
460.7833,184,-369.502563
463.1341,185,-369.502563
465.0342,186,-369.502563
466.9940,187,-369.502563
469.2108,188,-369.502563
471.4659,189,-369.502563
474.0823,190,-369.502563
476.4941,191,-369.502563
479.3839,192,-369.502563
481.6625,193,-369.502563
483.4782,194,-369.502563
485.7945,195,-369.502563
488.6700,196,-369.502563
490.5744,197,-369.502563
493.2742,198,-369.502563
496.0662,199,-369.502563
498.7576,200,-369.502563
502.0784,201,-369.502563
504.7541,202,-369.502563
506.8386,203,-369.502563
509.1865,204,-369.502563
511.9257,205,-369.502563
514.5624,206,-369.502563
516.6463,207,-369.502563
519.0703,208,-369.502563
521.3793,209,-369.502563
523.8703,210,-369.502563
525.9746,211,-369.502563
528.3102,212,-369.502563
530.1462,213,-369.502563
532.0939,214,-369.502563
534.7104,215,-369.502563
537.3986,216,-369.502563
539.3619,217,-369.502563
541.0220,218,-369.502563
543.5180,219,-369.502563
