SEED: 3296425028
BEST: -137.04769897460938
t,generation,fitness
1.7146,0,-841.850189
2.6572,1,-841.850189
3.6611,2,-841.850189
4.8608,3,-841.850189
5.8660,4,-841.850189
6.9419,5,-828.391281
8.2466,6,-828.391281
9.5753,7,-828.391281
10.5212,8,-828.391281
11.8847,9,-648.879196
13.5368,10,-433.990906
15.1249,11,-433.990906
16.4894,12,-433.990906
17.9487,13,-433.990906
19.4023,14,-433.990906
20.9193,15,-433.990906
22.3358,16,-433.990906
23.5484,17,-433.990906
24.9347,18,-388.830353
26.1877,19,-388.830353
27.4630,20,-326.673370
28.9440,21,-326.673370
30.6252,22,-326.673370
33.4847,23,-298.013794
35.3259,24,-298.013794
36.6892,25,-298.013794
37.5955,26,-298.013794
39.1138,27,-298.013794
40.2781,28,-298.013794
41.4804,29,-298.013794
42.6192,30,-298.013794
43.8851,31,-298.013794
45.7370,32,-298.013794
46.9881,33,-298.013794
48.1629,34,-298.013794
49.4373,35,-298.013794
51.0303,36,-298.013794
52.5417,37,-298.013794
53.6726,38,-298.013794
54.6693,39,-248.041779
56.2406,40,-248.041779
57.6209,41,-248.041779
58.7591,42,-248.041779
60.1020,43,-248.041779
61.4002,44,-234.943695
62.7011,45,-228.473480
64.5052,46,-228.473480
66.0331,47,-228.473480
67.4980,48,-228.473480
69.1167,49,-225.851761
70.2771,50,-225.851761
71.5904,51,-225.851761
72.9910,52,-225.851761
74.1405,53,-225.851761
75.3341,54,-225.851761
76.7800,55,-202.401871
78.1747,56,-202.401871
79.4830,57,-202.401871
80.6723,58,-200.922791
82.1292,59,-200.922791
83.6660,60,-200.922791
84.9645,61,-200.922791
86.3529,62,-200.922791
87.8370,63,-200.922791
89.2556,64,-200.922791
90.6332,65,-200.922791
92.0374,66,-200.922791
94.2246,67,-200.922791
95.8051,68,-200.493546
97.3331,69,-200.493546
99.5103,70,-200.493546
100.8823,71,-200.493546
102.3447,72,-200.493546
103.8106,73,-200.493546
105.2573,74,-200.493546
107.0909,75,-200.493546
108.5442,76,-196.361893
110.4576,77,-196.361893
112.1050,78,-196.361893
113.4662,79,-196.361893
115.1899,80,-196.361893
116.6988,81,-196.361893
118.3330,82,-196.361893
119.8579,83,-196.361893
121.3408,84,-196.361893
122.8371,85,-196.361893
124.3612,86,-196.361893
125.5730,87,-196.361893
127.3690,88,-196.361893
128.8110,89,-196.361893
130.3184,90,-196.361893
132.1023,91,-196.361893
133.4941,92,-196.361893
135.4528,93,-196.361893
136.6664,94,-196.361893
138.2798,95,-196.361893
139.7091,96,-196.361893
141.3586,97,-196.361893
142.7994,98,-196.361893
144.3091,99,-196.361893
145.8070,100,-196.361893
147.3637,101,-196.361893
149.0230,102,-196.361893
150.7788,103,-196.361893
152.3474,104,-196.361893
153.7501,105,-195.847916
155.3451,106,-195.847916
156.9847,107,-195.847916
158.1444,108,-195.847916
159.2051,109,-195.847916
160.6050,110,-195.847916
162.5251,111,-195.847916
164.2770,112,-195.847916
165.8335,113,-195.847916
167.5550,114,-195.847916
168.9413,115,-195.847916
170.8950,116,-195.847916
172.3180,117,-195.847916
174.1497,118,-195.847916
175.7221,119,-195.847916
177.4423,120,-195.847916
178.9211,121,-195.847916
180.7282,122,-195.847916
182.5372,123,-195.847916
184.1334,124,-195.847916
185.6944,125,-195.847916
186.8915,126,-195.847916
188.2982,127,-195.847916
189.3211,128,-195.847916
190.9832,129,-195.847916
192.2241,130,-195.847916
193.8060,131,-195.847916
195.1375,132,-195.847916
196.8607,133,-195.847916
198.3538,134,-161.399323
199.8811,135,-161.399323
201.3438,136,-161.399323
202.7091,137,-161.399323
204.5646,138,-161.399323
205.8939,139,-161.399323
207.7450,140,-161.399323
209.7078,141,-161.399323
211.5491,142,-161.399323
213.4010,143,-161.399323
215.1578,144,-161.399323
217.0269,145,-161.399323
219.0815,146,-161.399323
221.4480,147,-161.399323
223.0760,148,-161.399323
225.2099,149,-161.399323
227.3382,150,-161.399323
229.1491,151,-161.399323
231.2469,152,-161.399323
233.0863,153,-161.399323
235.4756,154,-161.399323
238.3438,155,-161.399323
240.5722,156,-161.399323
242.9333,157,-161.399323
244.7857,158,-161.399323
247.0453,159,-160.794128
248.9867,160,-160.794128
251.4227,161,-160.794128
254.0255,162,-160.794128
256.1971,163,-160.794128
258.2373,164,-160.794128
260.5093,165,-160.794128
262.4478,166,-160.794128
265.1152,167,-160.794128
267.5638,168,-160.794128
269.4970,169,-160.794128
271.8271,170,-160.794128
274.2538,171,-160.794128
276.0210,172,-160.794128
277.9163,173,-160.794128
280.0821,174,-159.461884
281.8693,175,-159.461884
283.5250,176,-159.461884
285.6137,177,-159.461884
287.6604,178,-159.461884
289.9820,179,-159.461884
291.9452,180,-159.461884
293.7812,181,-159.461884
295.6393,182,-159.461884
298.0543,183,-159.461884
299.8953,184,-159.461884
302.0135,185,-159.461884
303.6968,186,-159.461884
305.5067,187,-159.461884
307.6131,188,-159.461884
309.8980,189,-159.461884
312.2303,190,-159.461884
314.3650,191,-159.461884
316.4539,192,-159.461884
318.1431,193,-159.461884
320.4481,194,-159.461884
323.1744,195,-159.461884
325.1571,196,-159.461884
327.2423,197,-151.698334
329.3128,198,-151.698334
331.1733,199,-151.698334
333.0408,200,-151.698334
334.9885,201,-151.698334
336.5971,202,-151.698334
338.4459,203,-151.698334
340.0351,204,-151.698334
342.9627,205,-151.698334
345.4852,206,-151.698334
347.7250,207,-151.698334
349.2449,208,-151.698334
351.8148,209,-151.698334
353.6210,210,-151.698334
355.7688,211,-151.698334
357.4268,212,-151.698334
359.2061,213,-151.698334
361.2810,214,-151.698334
363.0712,215,-151.698334
365.4138,216,-151.698334
367.5997,217,-147.332916
369.9744,218,-147.332916
371.5208,219,-147.332916
373.4206,220,-147.332916
375.5571,221,-147.332916
377.5569,222,-147.332916
379.3902,223,-147.332916
380.9932,224,-147.332916
382.8331,225,-147.332916
384.9733,226,-147.332916
387.1239,227,-147.332916
388.8052,228,-147.332916
390.6732,229,-147.332916
392.4258,230,-147.332916
394.5795,231,-147.332916
396.0568,232,-147.332916
398.2981,233,-147.332916
400.1993,234,-147.332916
402.1416,235,-147.332916
404.3952,236,-147.332916
406.1377,237,-147.332916
408.3403,238,-147.332916
410.4772,239,-147.332916
412.9128,240,-147.332916
415.0700,241,-147.332916
417.2772,242,-147.332916
419.5827,243,-147.332916
421.9850,244,-147.332916
423.8563,245,-147.332916
425.9332,246,-146.792511
427.8132,247,-146.792511
430.2105,248,-146.792511
432.7639,249,-146.792511
434.8111,250,-146.792511
436.7679,251,-146.792511
438.6566,252,-146.792511
441.0893,253,-146.792511
443.4302,254,-146.792511
445.9610,255,-146.792511
448.0726,256,-146.792511
449.7678,257,-146.792511
451.5288,258,-146.792511
453.8350,259,-146.792511
456.4970,260,-146.792511
458.4742,261,-146.792511
461.0043,262,-146.792511
463.5036,263,-146.792511
466.2827,264,-146.792511
468.8450,265,-146.792511
470.7347,266,-146.792511
472.7460,267,-146.792511
474.9975,268,-146.792511
477.5590,269,-146.792511
479.3282,270,-146.792511
481.2368,271,-146.792511
483.4020,272,-146.792511
486.0573,273,-146.792511
488.5091,274,-146.792511
490.7872,275,-146.792511
492.7291,276,-146.792511
494.8739,277,-146.792511
497.2462,278,-146.792511
498.9768,279,-146.792511
501.4414,280,-146.792511
503.1532,281,-146.792511
