SEED: 1407560167
BEST: -327.23291015625
t,generation,fitness
3.5369,0,-1711.501999
4.6305,1,-1711.501999
6.7103,2,-1711.501999
9.6783,3,-1519.829056
11.9649,4,-1303.213898
12.9646,5,-1303.213898
14.0590,6,-1303.213898
16.1385,7,-1232.828720
17.7623,8,-1232.828720
19.2705,9,-1232.828720
20.7982,10,-1232.828720
21.9909,11,-1232.828720
23.4837,12,-1232.828720
24.6348,13,-1185.798935
26.1361,14,-1185.798935
27.9463,15,-1185.798935
28.1790,16,-1185.798935
30.8772,17,-1177.560257
32.4310,18,-1177.560257
33.6407,19,-1177.560257
33.8208,20,-1177.560257
34.9304,21,-1177.560257
35.6400,22,-1177.560257
36.8707,23,-1177.560257
37.9852,24,-1177.560257
39.7947,25,-1177.560257
42.4183,26,-1177.560257
43.5848,27,-1177.560257
44.7667,28,-1177.560257
46.9465,29,-1177.560257
48.7258,30,-1177.560257
49.7548,31,-1177.560257
51.1468,32,-1177.560257
52.8229,33,-1177.560257
53.8141,34,-1177.560257
55.0439,35,-1177.560257
57.1835,36,-1177.560257
59.8547,37,-1177.560257
62.2999,38,-1175.315567
63.3905,39,-1175.315567
64.9186,40,-1175.315567
66.5063,41,-1160.771011
69.2307,42,-1160.771011
70.4025,43,-1160.771011
71.2945,44,-1160.771011
72.6608,45,-1160.771011
73.7951,46,-1160.771011
75.0717,47,-1160.771011
77.5633,48,-1160.771011
79.2187,49,-1160.771011
80.8783,50,-1160.771011
82.1104,51,-1160.771011
84.5033,52,-1157.036926
87.0659,53,-1157.036926
89.7310,54,-717.794556
91.5700,55,-717.794556
93.7942,56,-717.794556
96.9701,57,-717.794556
98.7114,58,-705.023865
100.6929,59,-705.023865
102.6301,60,-705.023865
104.5419,61,-705.023865
106.7520,62,-705.023865
109.5052,63,-705.023865
111.3707,64,-696.313950
112.8377,65,-685.610657
114.1101,66,-685.610657
116.5819,67,-685.610657
118.0258,68,-685.610657
119.3262,69,-685.610657
121.1644,70,-685.610657
122.0617,71,-685.610657
123.8302,72,-685.610657
125.2193,73,-685.610657
126.9139,74,-685.610657
128.5459,75,-685.610657
130.4686,76,-685.610657
131.8876,77,-685.610657
133.7701,78,-685.610657
135.5066,79,-685.610657
137.8617,80,-685.610657
139.8538,81,-685.610657
141.4508,82,-685.610657
143.5418,83,-685.610657
144.5429,84,-685.610657
145.2402,85,-685.610657
147.6021,86,-685.610657
150.9659,87,-685.610657
152.9781,88,-685.610657
155.6951,89,-679.196121
157.0231,90,-679.196121
159.4071,91,-679.196121
161.9940,92,-679.196121
163.9659,93,-679.196121
166.7742,94,-679.196121
167.7981,95,-679.196121
170.3140,96,-679.196121
172.0740,97,-679.196121
174.3418,98,-679.196121
176.2418,99,-679.196121
178.3622,100,-679.196121
182.1464,101,-679.196121
183.7579,102,-327.232910
187.2508,103,-327.232910
188.7664,104,-327.232910
190.5503,105,-327.232910
193.4628,106,-327.232910
194.5861,107,-327.232910
196.2541,108,-327.232910
196.4310,109,-327.232910
198.5703,110,-327.232910
200.3099,111,-327.232910
202.0459,112,-327.232910
204.5538,113,-327.232910
206.4991,114,-327.232910
208.1546,115,-327.232910
208.9780,116,-327.232910
210.8540,117,-327.232910
213.4099,118,-327.232910
214.7337,119,-327.232910
216.9499,120,-327.232910
220.2180,121,-327.232910
221.3696,122,-327.232910
222.7756,123,-327.232910
223.8474,124,-327.232910
225.3233,125,-327.232910
227.4183,126,-327.232910
228.7565,127,-327.232910
231.7878,128,-327.232910
233.8720,129,-327.232910
236.1072,130,-327.232910
238.5633,131,-327.232910
240.5464,132,-327.232910
240.7313,133,-327.232910
242.5874,134,-327.232910
243.6260,135,-327.232910
246.3270,136,-327.232910
249.2432,137,-327.232910
251.9155,138,-327.232910
254.1590,139,-327.232910
256.4875,140,-327.232910
258.0414,141,-327.232910
259.4380,142,-327.232910
262.0195,143,-327.232910
265.2623,144,-327.232910
