SEED: 1558196631
BEST: -703.5864715576172
t,generation,fitness
3.7495,0,-1603.288757
7.4437,1,-1544.719513
10.2442,2,-1544.719513
11.9121,3,-1206.350739
14.2041,4,-1206.350739
16.2482,5,-1206.350739
18.9083,6,-1206.350739
21.1442,7,-1206.350739
22.7883,8,-1206.350739
25.9765,9,-1206.350739
28.9402,10,-1206.350739
30.4284,11,-1206.350739
32.0424,12,-1206.350739
35.0843,13,-1206.350739
37.9041,14,-1206.350739
38.0545,15,-1206.350739
40.2443,16,-1186.656784
41.4682,17,-1186.656784
43.7723,18,-1186.656784
46.3731,19,-1186.656784
49.4568,20,-1186.656784
51.9322,21,-1186.656784
53.8764,22,-1168.802795
55.7602,23,-1168.802795
58.3323,24,-1168.802795
61.1283,25,-1168.802795
63.4701,26,-965.785660
65.9363,27,-904.199356
68.7103,28,-904.199356
71.9842,29,-904.199356
75.2484,30,-904.199356
77.1524,31,-904.199356
80.4652,32,-904.199356
83.5243,33,-904.199356
86.5761,34,-904.199356
89.8202,35,-904.199356
93.4926,36,-904.199356
96.8723,37,-904.199356
101.0483,38,-904.199356
103.0292,39,-904.199356
107.0404,40,-904.199356
110.2485,41,-904.199356
113.4446,42,-904.199356
117.3604,43,-901.317673
120.0522,44,-901.317673
124.0847,45,-901.317673
127.1845,46,-901.317673
130.5006,47,-901.317673
132.0006,48,-901.317673
135.2346,49,-901.317673
138.5098,50,-901.317673
140.5569,51,-901.317673
144.2649,52,-901.317673
146.7406,53,-901.317673
151.5169,54,-894.579544
156.1045,55,-894.579544
160.2401,56,-894.579544
162.6088,57,-894.579544
166.5125,58,-894.579544
169.9685,59,-894.579544
172.9925,60,-894.579544
175.3883,61,-894.579544
179.1403,62,-894.579544
183.1605,63,-894.579544
187.5399,64,-894.579544
190.9683,65,-894.579544
193.1246,66,-894.579544
195.6443,67,-894.579544
198.6188,68,-894.579544
201.8686,69,-894.579544
204.8600,70,-894.579544
209.0843,71,-894.579544
211.3803,72,-894.579544
214.7525,73,-894.579544
217.3925,74,-894.579544
221.2925,75,-894.579544
224.5961,76,-894.579544
226.4721,77,-894.579544
229.5724,78,-889.363220
232.3323,79,-889.363220
235.5484,80,-889.363220
239.1165,81,-889.363220
243.5925,82,-889.363220
246.6129,83,-889.363220
248.1362,84,-889.363220
251.0525,85,-889.363220
254.3284,86,-889.363220
258.1109,87,-889.363220
261.5845,88,-889.363220
265.3762,89,-889.363220
268.0092,90,-889.363220
270.3923,91,-889.363220
273.9044,92,-889.363220
275.8561,93,-889.363220
278.6403,94,-889.363220
281.7404,95,-889.363220
284.8930,96,-889.363220
288.6564,97,-889.363220
292.2525,98,-889.363220
295.4004,99,-889.363220
298.4250,100,-889.363220
301.4332,101,-889.363220
304.8526,102,-889.363220
307.4363,103,-889.363220
310.0085,104,-889.363220
313.6759,105,-889.363220
316.2402,106,-857.636978
319.2165,107,-857.636978
320.7085,108,-857.636978
324.4925,109,-827.056793
328.1123,110,-827.056793
330.8122,111,-827.056793
333.2444,112,-827.056793
337.3284,113,-827.056793
340.7042,114,-827.056793
344.6364,115,-822.909210
348.0845,116,-822.909210
351.9646,117,-822.909210
355.7281,118,-759.972839
358.1883,119,-759.972839
360.0005,120,-759.972839
363.5326,121,-759.972839
366.4377,122,-759.972839
370.4248,123,-759.972839
373.8684,124,-759.972839
377.7564,125,-759.972839
380.9769,126,-759.972839
385.4765,127,-759.972839
390.2362,128,-759.972839
393.7884,129,-759.972839
397.6405,130,-753.112137
401.3408,131,-753.112137
405.1892,132,-753.112137
409.0410,133,-753.112137
413.2453,134,-753.112137
416.7049,135,-753.112137
420.3493,136,-753.112137
424.2776,137,-753.112137
427.7767,138,-753.112137
431.9241,139,-753.112137
434.3685,140,-753.112137
436.8165,141,-753.112137
440.0723,142,-753.112137
442.4360,143,-753.112137
446.1801,144,-753.112137
449.5241,145,-753.112137
452.4086,146,-753.112137
455.7564,147,-753.112137
458.5886,148,-753.112137
461.3930,149,-753.112137
464.7577,150,-753.112137
468.1725,151,-753.112137
470.4886,152,-749.059341
474.4763,153,-749.059341
477.0281,154,-749.059341
480.7125,155,-749.059341
484.3766,156,-749.059341
487.9041,157,-749.059341
491.6641,158,-749.059341
495.2689,159,-749.059341
498.7042,160,-749.059341
503.2085,161,-749.059341
507.1233,162,-749.059341
510.6599,163,-739.461945
514.3085,164,-739.461945
517.3164,165,-739.461945
521.1164,166,-739.461945
523.4923,167,-739.461945
526.4202,168,-739.461945
