SEED: 3724557530
BEST: -222.45225524902344
t,generation,fitness
3.2618,0,-1482.423279
5.9291,1,-1482.423279
8.5967,2,-1482.423279
10.2328,3,-1482.423279
11.7646,4,-1482.423279
14.3929,5,-1482.423279
16.2170,6,-1482.423279
17.4170,7,-1482.423279
20.6128,8,-1482.423279
22.1041,9,-1482.423279
23.1209,10,-1482.423279
24.4774,11,-1330.423737
26.8730,12,-1330.423737
28.5126,13,-1330.423737
28.9929,14,-1330.423737
30.1451,15,-1330.423737
30.7940,16,-1330.423737
33.2527,17,-1325.596313
33.6727,18,-1325.596313
34.8789,19,-1325.596313
36.5770,20,-1033.685944
39.5928,21,-1033.685944
40.9370,22,-1033.685944
42.6741,23,-1033.685944
45.4527,24,-696.351898
47.2738,25,-696.351898
50.1330,26,-696.351898
52.3289,27,-547.956924
55.5967,28,-547.956924
56.9249,29,-547.956924
59.2055,30,-547.956924
61.9328,31,-547.956924
63.6848,32,-547.956924
66.0488,33,-547.956924
68.7328,34,-547.956924
69.8250,35,-547.956924
71.9488,36,-547.956924
72.9528,37,-547.956924
74.3975,38,-547.956924
76.6491,39,-506.020966
79.2088,40,-506.020966
81.6491,41,-444.514084
84.3088,42,-444.514084
87.1330,43,-444.514084
90.2409,44,-444.514084
93.0409,45,-444.514084
96.0566,46,-444.514084
99.1809,47,-444.514084
101.8770,48,-444.514084
104.5288,49,-444.514084
106.9927,50,-444.514084
111.9215,51,-444.514084
114.9649,52,-444.514084
116.4941,53,-444.514084
119.0711,54,-444.514084
121.4410,55,-444.514084
123.3208,56,-444.514084
126.0209,57,-444.514084
128.1970,58,-444.514084
132.1407,59,-444.514084
135.0727,60,-444.514084
138.0128,61,-444.514084
140.6368,62,-444.514084
141.6245,63,-444.514084
144.0768,64,-444.514084
146.3057,65,-444.514084
148.6131,66,-444.514084
151.6382,67,-444.514084
153.8751,68,-444.514084
155.7810,69,-444.514084
158.4889,70,-444.514084
162.1927,71,-444.514084
165.0489,72,-444.514084
167.6260,73,-444.514084
170.0528,74,-444.514084
172.0205,75,-444.514084
175.0809,76,-444.514084
176.6448,77,-444.514084
179.9647,78,-444.514084
183.2486,79,-444.514084
185.0809,80,-444.514084
187.6289,81,-444.514084
190.1314,82,-442.281158
191.5967,83,-442.281158
195.0990,84,-442.281158
198.6289,85,-442.281158
201.2690,86,-442.281158
204.4360,87,-442.281158
208.6341,88,-442.281158
211.9388,89,-442.281158
214.1133,90,-442.281158
217.7009,91,-442.281158
220.7489,92,-441.491608
224.2808,93,-441.491608
225.7650,94,-441.491608
228.4583,95,-441.491608
230.4686,96,-441.491608
232.5807,97,-441.491608
235.6608,98,-440.269409
238.0848,99,-440.269409
240.9650,100,-440.269409
242.8929,101,-440.269409
246.8807,102,-440.269409
250.0545,103,-440.269409
252.0453,104,-440.269409
254.9646,105,-439.904175
258.3850,106,-439.904175
260.9268,107,-439.904175
262.9770,108,-439.904175
266.0091,109,-439.904175
269.2729,110,-439.904175
272.7248,111,-439.904175
275.3925,112,-439.904175
278.5209,113,-439.904175
281.0208,114,-439.904175
283.5060,115,-439.904175
286.4367,116,-439.904175
289.9446,117,-439.904175
293.0648,118,-439.904175
296.8009,119,-439.904175
300.4228,120,-439.904175
302.7529,121,-439.904175
305.6370,122,-439.904175
308.5049,123,-439.904175
311.0168,124,-439.904175
313.3048,125,-439.904175
316.6728,126,-439.904175
320.4888,127,-439.904175
322.6128,128,-439.904175
324.8895,129,-439.904175
328.1452,130,-439.904175
330.3860,131,-439.904175
333.2808,132,-439.904175
335.4968,133,-439.904175
338.7255,134,-439.904175
340.8714,135,-439.904175
342.7445,136,-439.904175
345.5412,137,-439.904175
348.1011,138,-439.904175
349.4443,139,-439.904175
353.5588,140,-439.904175
356.6328,141,-439.904175
359.4567,142,-437.661255
360.9246,143,-437.661255
364.1531,144,-437.661255
367.2449,145,-437.661255
368.6727,146,-437.661255
370.7171,147,-437.661255
372.8966,148,-437.661255
374.2007,149,-437.661255
377.5249,150,-437.661255
381.4368,151,-437.661255
384.0770,152,-437.661255
387.6771,153,-437.661255
389.2927,154,-437.661255
391.1727,155,-437.661255
394.4607,156,-437.661255
397.8087,157,-437.661255
401.0687,158,-437.661255
403.5129,159,-437.661255
405.7770,160,-437.661255
407.9608,161,-437.661255
411.6808,162,-437.661255
414.0851,163,-437.661255
416.4009,164,-437.661255
419.4406,165,-437.661255
422.2728,166,-437.661255
424.0686,167,-437.661255
427.2858,168,-428.122162
430.3127,169,-428.122162
432.9248,170,-417.095337
436.0580,171,-417.095337
440.2127,172,-417.095337
444.5487,173,-417.095337
447.8989,174,-417.095337
450.4548,175,-417.095337
453.0767,176,-417.095337
456.2643,177,-417.095337
459.5449,178,-417.095337
462.8430,179,-417.095337
466.3889,180,-404.888733
469.4607,181,-404.888733
472.9891,182,-404.888733
476.2527,183,-369.250885
479.0208,184,-369.250885
482.6472,185,-369.250885
485.9398,186,-369.250885
489.5327,187,-357.220291
492.6696,188,-357.220291
494.3046,189,-357.220291
497.3853,190,-357.220291
499.9727,191,-348.082153
502.6370,192,-348.082153
505.1366,193,-348.082153
508.0689,194,-348.082153
510.2929,195,-348.082153
512.2288,196,-348.082153
514.2609,197,-348.082153
516.2090,198,-348.082153
518.1809,199,-348.082153
520.8490,200,-348.082153
523.5411,201,-348.082153
525.1112,202,-348.082153
529.0569,203,-348.082153
532.9087,204,-348.082153
535.8971,205,-275.585495
538.7729,206,-275.585495
541.1609,207,-275.585495
543.9649,208,-275.585495
545.3777,209,-275.585495
547.8486,210,-275.585495
550.1969,211,-275.585495
552.4207,212,-275.585495
555.2570,213,-275.585495
558.2409,214,-275.585495
561.6333,215,-275.585495
563.7608,216,-275.585495
565.9328,217,-275.585495
568.8809,218,-275.585495
571.4049,219,-275.585495
572.9331,220,-275.585495
576.1966,221,-275.585495
578.8965,222,-275.585495
580.4689,223,-275.585495
582.6495,224,-275.585495
586.3288,225,-275.585495
588.9129,226,-275.585495
591.4702,227,-275.585495
593.1047,228,-275.585495
595.8650,229,-275.585495
598.8225,230,-275.585495
601.6168,231,-275.585495
604.2183,232,-275.585495
606.6979,233,-275.585495
610.0848,234,-275.585495
612.6328,235,-275.585495
614.9969,236,-275.585495
618.7611,237,-275.585495
620.3458,238,-275.585495
623.0809,239,-275.585495
627.1968,240,-275.585495
631.3610,241,-275.585495
634.0889,242,-275.585495
636.7489,243,-275.585495
638.3215,244,-275.585495
640.8047,245,-275.585495
643.6248,246,-275.585495
646.1847,247,-275.585495
648.3529,248,-275.585495
651.9538,249,-275.585495
654.1569,250,-275.585495
656.1249,251,-275.585495
659.1326,252,-275.585495
661.6370,253,-275.585495
663.5809,254,-275.585495
665.8047,255,-275.585495
667.1694,256,-275.585495
669.6571,257,-275.585495
672.4479,258,-275.585495
674.9971,259,-275.585495
677.4169,260,-275.585495
680.3250,261,-275.585495
682.7787,262,-275.585495
684.9126,263,-275.585495
687.5288,264,-275.585495
691.1689,265,-275.585495
693.4407,266,-275.585495
696.5929,267,-275.585495
698.7089,268,-275.585495
701.1729,269,-275.585495
704.0535,270,-275.585495
705.8488,271,-275.585495
708.0088,272,-275.585495
710.0820,273,-275.585495
712.9818,274,-275.585495
715.0169,275,-275.585495
717.3573,276,-275.585495
719.6848,277,-275.585495
722.5089,278,-275.585495
724.9768,279,-275.585495
727.4488,280,-275.585495
729.7649,281,-275.585495
731.8457,282,-275.585495
733.7801,283,-275.585495
735.7729,284,-275.585495
738.0689,285,-275.585495
741.2849,286,-275.585495
744.8411,287,-275.585495
747.2409,288,-275.585495
750.9448,289,-275.585495
753.5969,290,-275.585495
756.1368,291,-275.585495
759.3357,292,-275.585495
761.5994,293,-275.585495
763.8207,294,-275.585495
766.2767,295,-275.585495
768.0207,296,-275.585495
770.2968,297,-275.585495
773.3183,298,-275.585495
776.5687,299,-275.585495
778.8648,300,-275.585495
781.1829,301,-275.585495
784.4650,302,-275.585495
787.3329,303,-275.585495
789.1968,304,-275.585495
791.9852,305,-275.585495
793.4570,306,-275.585495
797.0772,307,-275.585495
799.3087,308,-275.585495
802.3569,309,-275.585495
805.2731,310,-275.585495
808.6369,311,-275.585495
811.6847,312,-275.585495
813.6368,313,-275.585495
816.4052,314,-275.585495
819.8130,315,-275.585495
822.0366,316,-275.585495
824.2648,317,-275.585495
826.7486,318,-275.585495
830.3095,319,-275.585495
832.4408,320,-275.585495
835.6815,321,-275.585495
837.4888,322,-275.585495
840.4929,323,-275.585495
841.9969,324,-275.585495
844.9089,325,-275.585495
847.6598,326,-275.585495
851.0770,327,-275.585495
853.1968,328,-275.585495
854.9808,329,-275.585495
858.3369,330,-275.585495
861.4451,331,-275.585495
863.5489,332,-275.585495
865.1636,333,-275.585495
866.4409,334,-275.585495
869.5089,335,-275.585495
872.3488,336,-275.585495
874.7650,337,-275.585495
876.4648,338,-275.585495
879.5288,339,-275.585495
883.0768,340,-275.585495
885.5807,341,-275.585495
888.5489,342,-275.585495
891.0049,343,-275.585495
894.1607,344,-275.585495
896.3815,345,-275.585495
898.9728,346,-275.585495
901.7886,347,-275.585495
904.8049,348,-275.585495
907.0447,349,-275.585495
909.5702,350,-275.585495
912.1330,351,-275.585495
914.4210,352,-275.585495
917.1808,353,-275.585495
919.6449,354,-275.585495
922.7011,355,-275.585495
925.3648,356,-275.585495
927.6533,357,-275.585495
930.0968,358,-275.585495
932.6772,359,-275.585495
935.7451,360,-275.585495
938.3449,361,-275.585495
941.1728,362,-275.585495
943.8891,363,-275.585495
946.6249,364,-275.585495
949.7369,365,-275.585495
952.1215,366,-275.585495
