SEED: 3170462327
BEST: -153.7812042236328
t,generation,fitness
5.0713,0,-956.332016
7.3541,1,-956.332016
8.8138,2,-956.332016
10.2545,3,-956.332016
11.6338,4,-798.867722
14.0145,5,-798.867722
16.0252,6,-798.867722
19.0619,7,-768.908081
21.1299,8,-750.385376
24.3711,9,-750.385376
26.1987,10,-750.385376
28.5426,11,-750.385376
31.1337,12,-692.573715
33.8708,13,-692.573715
36.5627,14,-692.573715
40.1063,15,-558.628983
42.8785,16,-558.628983
45.3797,17,-558.628983
47.6990,18,-558.628983
49.7384,19,-558.628983
52.3150,20,-392.578964
55.8422,21,-392.578964
59.7793,22,-354.878571
63.0187,23,-354.878571
68.2137,24,-354.878571
72.3297,25,-354.878571
76.7157,26,-354.878571
79.7654,27,-354.878571
82.3026,28,-354.878571
84.7022,29,-354.878571
87.7459,30,-354.878571
90.2623,31,-305.665405
93.6901,32,-305.665405
95.1699,33,-299.627548
98.8138,34,-299.627548
102.1222,35,-283.638260
105.6702,36,-283.638260
108.2464,37,-283.638260
111.4618,38,-283.638260
112.7423,39,-283.638260
115.5419,40,-283.638260
118.8859,41,-283.638260
120.2140,42,-283.638260
123.5321,43,-283.638260
126.0056,44,-283.638260
128.4859,45,-283.197647
130.2458,46,-283.197647
132.2260,47,-283.197647
135.5661,48,-283.197647
139.0262,49,-283.197647
141.3578,50,-283.197647
145.0458,51,-283.197647
148.8621,52,-283.197647
150.4300,53,-223.449570
153.2381,54,-223.449570
158.3347,55,-223.449570
160.0266,56,-223.449570
161.6149,57,-223.449570
165.1903,58,-223.449570
167.6470,59,-223.449570
172.4908,60,-223.449570
175.7899,61,-223.449570
177.9701,62,-223.449570
179.4579,63,-223.449570
182.2223,64,-223.449570
186.5580,65,-223.449570
188.9542,66,-223.449570
191.8542,67,-223.449570
194.6151,68,-223.449570
197.0470,69,-223.449570
200.6300,70,-223.449570
203.5462,71,-223.449570
207.3526,72,-223.449570
209.8699,73,-223.449570
211.9581,74,-223.449570
214.1594,75,-223.449570
216.3379,76,-223.449570
219.1420,77,-223.449570
221.2901,78,-223.449570
223.6633,79,-223.449570
226.0064,80,-223.449570
228.3181,81,-223.449570
231.1060,82,-223.449570
233.1102,83,-223.449570
235.1081,84,-223.449570
238.4662,85,-223.449570
241.3103,86,-223.449570
243.1942,87,-223.449570
245.8539,88,-223.449570
249.5778,89,-223.449570
252.0139,90,-223.449570
254.8380,91,-223.449570
257.5790,92,-223.449570
261.3420,93,-223.449570
264.1743,94,-223.449570
267.0859,95,-223.449570
269.9302,96,-223.449570
272.9784,97,-223.449570
276.3950,98,-223.449570
279.5587,99,-223.449570
283.2105,100,-223.449570
285.6745,101,-201.505280
287.8305,102,-201.505280
291.0373,103,-167.535812
293.9110,104,-167.535812
295.3933,105,-167.535812
297.3796,106,-167.535812
300.6147,107,-167.535812
304.1088,108,-167.535812
307.3431,109,-162.068100
309.4026,110,-162.068100
313.1364,111,-162.068100
316.8642,112,-162.068100
319.6272,113,-162.068100
322.0420,114,-162.068100
324.5308,115,-162.068100
326.4098,116,-162.068100
329.0978,117,-162.068100
331.7140,118,-162.068100
334.2710,119,-162.068100
336.5546,120,-162.068100
339.2308,121,-162.068100
342.0428,122,-162.068100
345.2819,123,-162.068100
348.0097,124,-162.068100
350.9151,125,-162.068100
353.8302,126,-162.068100
357.1023,127,-162.068100
359.5740,128,-162.068100
361.8743,129,-162.068100
363.6908,130,-162.068100
366.8071,131,-162.068100
369.3114,132,-162.068100
371.4421,133,-153.781204
374.1627,134,-153.781204
375.9180,135,-153.781204
378.6177,136,-153.781204
380.4941,137,-153.781204
382.9587,138,-153.781204
386.1779,139,-153.781204
389.0739,140,-153.781204
391.4943,141,-153.781204
394.4581,142,-153.781204
396.9110,143,-153.781204
399.6266,144,-153.781204
401.3778,145,-153.781204
404.8821,146,-153.781204
406.5382,147,-153.781204
408.5543,148,-153.781204
411.4700,149,-153.781204
413.3984,150,-153.781204
415.3379,151,-153.781204
418.5659,152,-153.781204
421.2262,153,-153.781204
423.7381,154,-153.781204
426.2146,155,-153.781204
427.6419,156,-153.781204
430.0343,157,-153.781204
432.3118,158,-153.781204
434.9017,159,-153.781204
437.5624,160,-153.781204
439.9660,161,-153.781204
442.7906,162,-153.781204
444.8101,163,-153.781204
447.2261,164,-153.781204
449.9380,165,-153.781204
452.4219,166,-153.781204
455.6942,167,-153.781204
459.1342,168,-153.781204
461.1981,169,-153.781204
463.7340,170,-153.781204
466.1307,171,-153.781204
468.7819,172,-153.781204
471.5781,173,-153.781204
474.2180,174,-153.781204
476.8785,175,-153.781204
480.8503,176,-153.781204
483.8223,177,-153.781204
485.7618,178,-153.781204
488.2622,179,-153.781204
491.1982,180,-153.781204
493.9551,181,-153.781204
495.5382,182,-153.781204
499.4104,183,-153.781204
501.9661,184,-153.781204
503.8701,185,-153.781204
506.3463,186,-153.781204
508.2444,187,-153.781204
511.3782,188,-153.781204
513.9784,189,-153.781204
515.8508,190,-153.781204
518.7475,191,-153.781204
522.1063,192,-153.781204
524.0861,193,-153.781204
526.2150,194,-153.781204
528.5985,195,-153.781204
530.7949,196,-153.781204
532.6060,197,-153.781204
535.2787,198,-153.781204
537.8221,199,-153.781204
540.3708,200,-153.781204
543.3587,201,-153.781204
545.8503,202,-153.781204
548.0063,203,-153.781204
550.6952,204,-153.781204
553.9191,205,-153.781204
556.3545,206,-153.781204
559.7509,207,-153.781204
561.7499,208,-153.781204
563.3662,209,-153.781204
566.0022,210,-153.781204
568.1194,211,-153.781204
571.0058,212,-153.781204
573.5700,213,-153.781204
575.9622,214,-153.781204
578.5984,215,-153.781204
580.5970,216,-153.781204
583.5903,217,-153.781204
586.1583,218,-153.781204
588.1302,219,-153.781204
590.2340,220,-153.781204
592.2665,221,-153.781204
594.6139,222,-153.781204
597.2222,223,-153.781204
599.7343,224,-153.781204
602.1342,225,-153.781204
604.8503,226,-153.781204
607.7663,227,-153.781204
610.2503,228,-153.781204
612.2300,229,-153.781204
614.3740,230,-153.781204
616.9019,231,-153.781204
619.4098,232,-153.781204
622.0833,233,-153.781204
623.5023,234,-153.781204
625.6778,235,-153.781204
628.0300,236,-153.781204
630.4022,237,-153.781204
632.4801,238,-153.781204
635.1699,239,-153.781204
638.6506,240,-153.781204
641.0419,241,-153.781204
643.2582,242,-153.781204
645.8223,243,-153.781204
648.1464,244,-153.781204
650.8022,245,-153.781204
653.6981,246,-153.781204
655.9381,247,-153.781204
657.8222,248,-153.781204
660.0783,249,-153.781204
662.5903,250,-153.781204
665.1979,251,-153.781204
667.1498,252,-153.781204
669.3944,253,-153.781204
671.5139,254,-153.781204
673.8261,255,-153.781204
675.9068,256,-153.781204
678.5218,257,-153.781204
681.2904,258,-153.781204
683.8936,259,-153.781204
686.9945,260,-153.781204
689.9380,261,-153.781204
692.6943,262,-153.781204
695.7141,263,-153.781204
698.5223,264,-153.781204
700.3236,265,-153.781204
702.7581,266,-153.781204
704.7539,267,-153.781204
707.5069,268,-153.781204
709.8146,269,-153.781204
711.7741,270,-153.781204
713.4420,271,-153.781204
715.9313,272,-153.781204
718.5301,273,-153.781204
721.1781,274,-153.781204
723.1502,275,-153.781204
725.3595,276,-153.781204
728.1220,277,-153.781204
730.4220,278,-153.781204
733.1105,279,-153.781204
735.4463,280,-153.781204
738.0578,281,-153.781204
740.1903,282,-153.781204
742.9741,283,-153.781204
746.3144,284,-153.781204
749.2943,285,-153.781204
751.7740,286,-153.781204
754.4860,287,-153.781204
756.2677,288,-153.781204
758.9286,289,-153.781204
761.9589,290,-153.781204
764.6947,291,-153.781204
767.5672,292,-153.781204
770.6349,293,-153.781204
773.5746,294,-153.781204
776.6546,295,-153.781204
778.6831,296,-153.781204
781.1628,297,-153.781204
783.6673,298,-153.781204
786.6709,299,-153.781204
789.3957,300,-153.781204
791.4787,301,-153.781204
794.0908,302,-153.781204
796.4828,303,-153.781204
799.4150,304,-153.781204
801.5308,305,-153.781204
804.1269,306,-153.781204
806.2915,307,-153.781204
808.6919,308,-153.781204
811.4194,309,-153.781204
814.0379,310,-153.781204
816.2660,311,-153.781204
818.6664,312,-153.781204
820.8551,313,-153.781204
823.4866,314,-153.781204
826.0301,315,-153.781204
828.5302,316,-153.781204
830.5621,317,-153.781204
832.8541,318,-153.781204
835.8349,319,-153.781204
838.5309,320,-153.781204
841.2597,321,-153.781204
843.5068,322,-153.781204
846.5098,323,-153.781204
847.9181,324,-153.781204
850.1960,325,-153.781204
852.1901,326,-153.781204
854.6300,327,-153.781204
856.9419,328,-153.781204
859.3021,329,-153.781204
861.1701,330,-153.781204
863.4512,331,-153.781204
865.4230,332,-153.781204
868.6424,333,-153.781204
870.1950,334,-153.781204
873.2621,335,-153.781204
875.5303,336,-153.781204
878.0819,337,-153.781204
880.3980,338,-153.781204
882.9744,339,-153.781204
885.3819,340,-153.781204
887.8342,341,-153.781204
890.7420,342,-153.781204
892.9061,343,-153.781204
895.2860,344,-153.781204
898.1860,345,-153.781204
900.5660,346,-153.781204
903.4697,347,-153.781204
906.1942,348,-153.781204
909.3781,349,-153.781204
911.8662,350,-153.781204
914.9586,351,-153.781204
917.3302,352,-153.781204
919.2781,353,-153.781204
921.9662,354,-153.781204
924.4502,355,-153.781204
927.7460,356,-153.781204
929.9003,357,-153.781204
931.9519,358,-153.781204
934.2821,359,-153.781204
936.9659,360,-153.781204
940.1301,361,-153.781204
942.6103,362,-153.781204
945.0261,363,-153.781204
948.1980,364,-153.781204
950.6302,365,-153.781204
952.4545,366,-153.781204
954.8103,367,-153.781204
