SEED: 3091546329
BEST: -163.10693359375
t,generation,fitness
3.6463,0,-1523.767487
4.4737,1,-1523.767487
5.9532,2,-1523.767487
7.1336,3,-1523.767487
9.3092,4,-1523.767487
10.8734,5,-1523.767487
12.9052,6,-1523.767487
14.5173,7,-1523.767487
15.6773,8,-1523.767487
16.7814,9,-1523.767487
18.0503,10,-1523.767487
18.8812,11,-1523.767487
19.7730,12,-1444.538162
20.9375,13,-1444.538162
22.2135,14,-1413.515030
23.9414,15,-1413.515030
25.3533,16,-1413.515030
26.2573,17,-1413.515030
28.2461,18,-1413.515030
30.0934,19,-1400.853348
30.7692,20,-1400.853348
32.7254,21,-1017.146133
34.3451,22,-1003.321426
35.2095,23,-1003.321426
37.8411,24,-1003.321426
38.7733,25,-1003.321426
40.2465,26,-1003.321426
41.3175,27,-1003.321426
43.4731,28,-1003.321426
45.5732,29,-1003.321426
46.8732,30,-1003.321426
48.1134,31,-1003.321426
50.2695,32,-1003.321426
53.0895,33,-1003.321426
53.7497,34,-1003.321426
54.6174,35,-1003.321426
55.5296,36,-935.542831
56.9285,37,-935.542831
58.6814,38,-935.542831
60.5173,39,-935.542831
61.5813,40,-935.542831
63.1252,41,-935.542831
64.8415,42,-935.270889
66.5092,43,-935.270889
68.1216,44,-935.270889
69.9171,45,-935.270889
71.8474,46,-935.270889
74.0612,47,-935.270889
76.7655,48,-935.270889
78.8985,49,-935.270889
81.5812,50,-935.270889
84.1812,51,-935.270889
86.4574,52,-935.270889
89.9014,53,-935.270889
92.5614,54,-935.270889
94.1973,55,-935.270889
96.7014,56,-935.270889
98.4455,57,-935.270889
100.4373,58,-935.270889
103.0537,59,-935.270889
104.7021,60,-935.270889
105.8331,61,-935.270889
107.6495,62,-935.270889
110.1975,63,-935.270889
113.0055,64,-935.270889
115.3695,65,-935.270889
118.0336,66,-935.270889
120.6251,67,-935.270889
122.9735,68,-935.270889
125.4893,69,-935.270889
127.5214,70,-935.270889
129.8820,71,-727.624756
132.3398,72,-727.624756
135.3813,73,-727.624756
137.9214,74,-727.624756
140.6100,75,-727.624756
142.5206,76,-727.624756
145.3572,77,-727.624756
146.8574,78,-727.624756
149.6137,79,-727.624756
152.1094,80,-716.998703
155.6173,81,-716.998703
158.2499,82,-716.998703
161.4374,83,-716.998703
164.7854,84,-716.998703
167.3375,85,-716.998703
170.0533,86,-716.998703
173.2892,87,-716.998703
176.2772,88,-716.998703
179.3664,89,-684.422211
183.1093,90,-684.422211
186.3095,91,-684.422211
188.9973,92,-684.422211
192.6415,93,-684.422211
195.8773,94,-684.422211
199.1891,95,-684.422211
201.5254,96,-684.422211
204.2893,97,-684.422211
207.3374,98,-684.422211
209.8145,99,-684.422211
212.3732,100,-684.422211
215.1493,101,-684.422211
218.1811,102,-684.422211
220.7173,103,-684.422211
223.0574,104,-684.422211
225.5771,105,-684.422211
227.9544,106,-684.422211
230.8413,107,-684.422211
233.3467,108,-684.422211
235.3223,109,-684.422211
237.6493,110,-684.422211
239.9097,111,-684.422211
242.6932,112,-684.422211
244.8975,113,-684.422211
247.8854,114,-684.422211
251.7051,115,-684.422211
255.0174,116,-679.200272
257.1932,117,-679.200272
259.5052,118,-679.200272
261.9331,119,-679.200272
264.6331,120,-661.938904
266.8613,121,-661.938904
269.1730,122,-659.412140
272.3574,123,-659.412140
275.3616,124,-659.412140
278.1412,125,-659.412140
281.0735,126,-659.412140
283.9851,127,-659.412140
286.9333,128,-650.371674
290.0932,129,-650.371674
292.2491,130,-650.371674
294.3335,131,-650.371674
296.3574,132,-650.371674
298.7937,133,-650.371674
301.1451,134,-650.371674
303.4733,135,-650.371674
306.6255,136,-650.371674
309.1494,137,-650.371674
311.9613,138,-650.371674
314.5853,139,-650.371674
317.3505,140,-646.509033
320.1815,141,-646.509033
322.7806,142,-646.509033
324.9095,143,-646.509033
327.4531,144,-646.509033
330.0813,145,-646.509033
332.5455,146,-646.509033
334.7533,147,-646.509033
337.6092,148,-646.509033
340.1947,149,-646.509033
343.4095,150,-646.509033
347.2935,151,-646.509033
350.2651,152,-646.509033
352.9212,153,-646.509033
354.7937,154,-646.509033
357.8976,155,-646.509033
361.2011,156,-646.509033
363.9534,157,-646.509033
367.8574,158,-646.509033
370.8413,159,-646.509033
374.0782,160,-646.509033
377.1375,161,-646.509033
380.8014,162,-646.509033
384.6618,163,-645.650482
387.4294,164,-645.650482
390.8013,165,-645.650482
393.3254,166,-645.650482
396.7813,167,-645.650482
400.5214,168,-645.650482
404.3572,169,-645.650482
408.7653,170,-645.650482
412.4134,171,-642.743179
415.6533,172,-642.743179
418.4212,173,-642.743179
421.7694,174,-642.743179
425.0971,175,-642.743179
428.7694,176,-642.743179
431.8415,177,-642.743179
436.1693,178,-642.743179
439.4414,179,-642.743179
442.2543,180,-642.743179
445.8532,181,-642.743179
448.7652,182,-642.743179
452.2421,183,-642.743179
455.4336,184,-642.743179
458.2220,185,-642.743179
462.2936,186,-642.743179
465.6853,187,-642.743179
468.7894,188,-642.743179
472.0135,189,-642.743179
475.3654,190,-642.743179
479.2091,191,-642.743179
482.0613,192,-642.743179
485.3376,193,-642.743179
488.0559,194,-615.872086
491.3173,195,-615.872086
493.8775,196,-615.872086
496.3278,197,-615.872086
500.3211,198,-615.872086
503.1733,199,-615.872086
506.6692,200,-615.872086
510.7574,201,-615.872086
513.8614,202,-615.872086
517.6415,203,-615.872086
520.4851,204,-615.872086
522.5298,205,-615.872086
526.1653,206,-596.554092
529.0294,207,-596.554092
532.1408,208,-596.554092
535.5451,209,-596.554092
538.7454,210,-596.554092
542.0062,211,-596.554092
544.9774,212,-596.554092
548.4249,213,-596.554092
552.5554,214,-596.554092
555.6131,215,-596.554092
559.5014,216,-596.554092
562.0732,217,-596.554092
566.0254,218,-596.554092
569.6973,219,-596.554092
574.1573,220,-596.554092
578.2172,221,-596.554092
581.8972,222,-596.554092
585.2454,223,-596.554092
587.6860,224,-596.554092
591.5745,225,-596.554092
594.9335,226,-596.554092
598.3215,227,-596.554092
601.3171,228,-596.554092
604.3334,229,-544.996811
606.6413,230,-544.996811
609.7656,231,-544.996811
612.7613,232,-544.996811
615.6932,233,-544.996811
618.3533,234,-544.996811
621.2733,235,-544.996811
624.3572,236,-544.996811
628.2293,237,-544.996811
630.8811,238,-544.996811
632.8387,239,-544.996811
636.1938,240,-544.996811
639.1571,241,-544.996811
642.0454,242,-544.996811
643.6012,243,-544.996811
