SEED: 3295667002
BEST: -233.69278717041016
t,generation,fitness
3.2396,0,-1487.082970
4.6680,1,-1487.082970
7.0012,2,-1487.082970
8.2007,3,-1487.082970
9.4706,4,-1486.164261
10.8757,5,-1482.412086
12.2683,6,-1178.019409
14.2568,7,-1178.019409
15.7314,8,-1149.162857
17.4616,9,-1149.162857
18.9761,10,-1110.762451
21.2102,11,-1110.762451
23.2334,12,-843.688599
24.9596,13,-843.688599
26.0262,14,-843.688599
28.3131,15,-843.688599
30.3453,16,-843.688599
31.8681,17,-843.688599
33.6933,18,-839.614388
35.6440,19,-828.197838
36.9098,20,-828.197838
38.6694,21,-828.197838
40.1411,22,-828.197838
42.1690,23,-766.955666
43.5764,24,-766.955666
44.7781,25,-766.955666
46.8523,26,-766.955666
48.2495,27,-766.955666
50.5853,28,-712.927650
51.8726,29,-712.927650
53.8975,30,-712.927650
56.3143,31,-712.927650
58.2752,32,-712.927650
60.5298,33,-712.927650
61.9403,34,-712.927650
63.4265,35,-712.927650
64.9177,36,-712.927650
67.1971,37,-712.927650
68.4480,38,-712.927650
70.6501,39,-712.927650
72.8887,40,-712.927650
74.6696,41,-712.927650
76.8326,42,-712.927650
78.5420,43,-712.927650
80.5116,44,-712.927650
82.6293,45,-712.927650
84.1037,46,-712.927650
86.8281,47,-712.927650
88.9335,48,-712.927650
90.3777,49,-712.927650
92.6335,50,-712.927650
94.2674,51,-712.927650
96.4579,52,-712.927650
98.3765,53,-712.927650
100.1361,54,-712.927650
101.5695,55,-712.927650
103.2216,56,-712.927650
105.0847,57,-712.927650
106.1828,58,-712.927650
107.6742,59,-712.927650
110.1062,60,-712.927650
111.8584,61,-712.927650
113.0856,62,-712.927650
116.1973,63,-712.927650
117.5343,64,-712.927650
119.6016,65,-712.927650
121.8256,66,-712.927650
123.7463,67,-712.927650
124.8734,68,-712.927650
126.9254,69,-712.927650
128.9985,70,-712.927650
130.5948,71,-712.927650
132.6815,72,-712.927650
134.2917,73,-712.927650
136.2975,74,-712.927650
137.4853,75,-712.927650
138.7541,76,-712.927650
141.5976,77,-712.927650
143.4919,78,-712.927650
145.5389,79,-712.927650
147.9353,80,-712.927650
150.3855,81,-712.927650
153.0052,82,-712.927650
155.2576,83,-712.927650
157.4097,84,-712.927650
158.9775,85,-712.927650
160.1628,86,-712.927650
162.6318,87,-712.927650
164.2617,88,-712.927650
165.5372,89,-712.927650
167.6576,90,-712.927650
169.7425,91,-712.927650
171.3278,92,-712.927650
173.1693,93,-712.927650
175.1400,94,-712.927650
176.7841,95,-712.927650
178.2868,96,-712.927650
179.8961,97,-712.927650
181.0980,98,-712.927650
182.4703,99,-712.927650
184.3056,100,-712.927650
186.0459,101,-712.927650
187.6297,102,-712.927650
189.9215,103,-712.927650
191.9694,104,-712.927650
193.1335,105,-712.927650
195.2669,106,-712.927650
197.5693,107,-712.927650
199.1189,108,-712.927650
201.1778,109,-712.927650
203.3513,110,-712.927650
204.8547,111,-712.927650
206.5423,112,-712.927650
208.6255,113,-712.927650
210.6250,114,-712.927650
212.9214,115,-712.927650
216.4288,116,-712.927650
217.5438,117,-712.927650
219.4072,118,-712.927650
221.2664,119,-712.927650
224.1199,120,-712.927650
226.0727,121,-712.927650
229.1177,122,-712.927650
232.3882,123,-712.927650
235.3895,124,-712.927650
237.8372,125,-712.927650
239.8580,126,-712.927650
242.6804,127,-712.927650
243.9297,128,-712.927650
245.4016,129,-712.927650
247.5302,130,-712.927650
248.8108,131,-712.927650
249.9933,132,-712.927650
251.3662,133,-712.927650
253.8615,134,-712.927650
255.5744,135,-712.927650
257.8023,136,-712.927650
259.6266,137,-712.927650
261.6547,138,-712.927650
262.9555,139,-712.927650
265.9356,140,-712.927650
267.4570,141,-712.927650
268.5933,142,-712.927650
269.9671,143,-712.927650
273.3929,144,-712.927650
274.6377,145,-712.927650
275.9460,146,-712.927650
279.1988,147,-712.927650
280.5375,148,-712.927650
281.7701,149,-712.927650
283.0011,150,-712.927650
285.6683,151,-712.927650
287.7342,152,-712.927650
289.3602,153,-712.927650
290.6826,154,-712.927650
293.8255,155,-712.927650
295.5045,156,-712.927650
296.7019,157,-712.927650
