SEED: 3916287850
BEST: -942.4451904296875
t,generation,fitness
3.7969,0,-1603.288757
5.2305,1,-1603.288757
7.1417,2,-1603.288757
9.8721,3,-1603.288757
12.1579,4,-1603.288757
14.2380,5,-1603.288757
16.2139,6,-1603.288757
17.3099,7,-1603.288757
19.0981,8,-1603.288757
21.1938,9,-1603.288757
23.6379,10,-1603.288757
25.9941,11,-1603.288757
30.7931,12,-1603.288757
33.1324,13,-1603.288757
34.3863,14,-1603.288757
36.3982,15,-1603.288757
37.8499,16,-1603.288757
39.3739,17,-1603.288757
41.0541,18,-1603.288757
42.8102,19,-1206.836426
45.0913,20,-1206.836426
46.9342,21,-1206.836426
49.3068,22,-1206.836426
51.0891,23,-1206.836426
54.4782,24,-1206.836426
56.7983,25,-1206.836426
58.9180,26,-1206.836426
60.6500,27,-1156.245514
62.4699,28,-1156.245514
64.8103,29,-1156.245514
66.6982,30,-1156.245514
68.8020,31,-1156.245514
70.7452,32,-1156.245514
72.8581,33,-1156.245514
74.7580,34,-1144.069412
77.2662,35,-1144.069412
79.6046,36,-1144.069412
82.5862,37,-1144.069412
85.0299,38,-1144.069412
87.8379,39,-1144.069412
90.2300,40,-1144.069412
92.9139,41,-1102.805725
96.0300,42,-1102.805725
98.7981,43,-1102.805725
100.7606,44,-1102.805725
103.0260,45,-1102.805725
107.0178,46,-1057.870850
110.3859,47,-1057.870850
113.2245,48,-1057.870850
115.3898,49,-1057.870850
118.2140,50,-1057.870850
122.0530,51,-1057.870850
124.4139,52,-1057.870850
127.3901,53,-1057.870850
130.4501,54,-1057.870850
132.8422,55,-1057.870850
136.5287,56,-1057.870850
139.2180,57,-1057.870850
142.8465,58,-1057.870850
145.9021,59,-1057.870850
149.1939,60,-1057.870850
151.9900,61,-1057.870850
155.4740,62,-1057.870850
158.0741,63,-1048.788895
161.7019,64,-1048.788895
164.7863,65,-1048.788895
168.0460,66,-1048.788895
172.0739,67,-1048.788895
175.2980,68,-986.514832
178.6260,69,-986.514832
181.4018,70,-986.514832
184.3299,71,-986.514832
187.5659,72,-986.514832
190.6780,73,-986.514832
194.0035,74,-986.514832
196.4300,75,-986.514832
199.1556,76,-986.514832
201.7298,77,-986.514832
204.5988,78,-986.514832
207.6901,79,-986.514832
210.7179,80,-985.429581
218.0941,81,-985.429581
221.7061,82,-985.429581
224.4780,83,-985.429581
227.9660,84,-985.429581
231.3779,85,-985.429581
233.9379,86,-985.429581
237.7981,87,-985.429581
240.3786,88,-985.429581
243.5660,89,-985.429581
247.0808,90,-985.429581
249.4499,91,-985.429581
252.5420,92,-985.429581
255.9819,93,-985.429581
258.7900,94,-985.429581
260.9820,95,-973.402893
264.0420,96,-973.402893
266.7900,97,-973.402893
269.5300,98,-973.402893
272.5991,99,-973.402893
275.1732,100,-973.402893
278.2500,101,-973.402893
281.3970,102,-973.402893
283.7980,103,-973.402893
286.9502,104,-973.402893
290.5450,105,-973.402893
293.9861,106,-973.402893
297.4780,107,-973.402893
299.2539,108,-973.402893
301.7089,109,-973.402893
304.3780,110,-973.402893
307.1890,111,-973.402893
309.3511,112,-973.402893
312.7261,113,-973.402893
314.9858,114,-973.402893
317.0540,115,-973.402893
319.5380,116,-973.402893
322.6820,117,-973.402893
325.3460,118,-973.402893
327.6418,119,-973.402893
329.6908,120,-973.402893
332.7517,121,-973.402893
