SEED: 828895716
BEST: -517.3761291503906
t,generation,fitness
2.3630,0,-1603.288757
4.3239,1,-1603.288757
5.9519,2,-1603.288757
8.0034,3,-1603.288757
10.6638,4,-1603.288757
12.3794,5,-1603.288757
14.5117,6,-1603.288757
16.6298,7,-1603.288757
17.7042,8,-1603.288757
19.6829,9,-1603.288757
21.3879,10,-1603.288757
23.5760,11,-1603.288757
25.9636,12,-1603.288757
27.1595,13,-1603.288757
28.8198,14,-1603.288757
31.4940,15,-1603.288757
32.9783,16,-1603.288757
34.7635,17,-1603.288757
37.2608,18,-1603.288757
39.5389,19,-1603.288757
41.7197,20,-1603.288757
43.9257,21,-1603.288757
46.6998,22,-1603.288757
49.0155,23,-1603.288757
51.3878,24,-1603.288757
53.4557,25,-1603.288757
55.2517,26,-1603.288757
57.0644,27,-1603.288757
58.8226,28,-1603.288757
61.0924,29,-1603.288757
62.2238,30,-1603.288757
63.6436,31,-1603.288757
65.3877,32,-1603.288757
68.1878,33,-1603.288757
69.5576,34,-1603.288757
71.7215,35,-1603.288757
73.2900,36,-1603.288757
75.4197,37,-1603.288757
77.3013,38,-1603.288757
79.6877,39,-1603.288757
81.5998,40,-1603.288757
82.6313,41,-1603.288757
84.2478,42,-1603.288757
86.2877,43,-1603.288757
88.2001,44,-1603.288757
90.0420,45,-1603.288757
92.0959,46,-1603.288757
93.5940,47,-1603.288757
95.4786,48,-1603.288757
97.3640,49,-1603.288757
98.5039,50,-1603.288757
100.1317,51,-1603.288757
101.3916,52,-1603.288757
103.6090,53,-1603.288757
105.2837,54,-1603.288757
107.0860,55,-1603.288757
108.7690,56,-1603.288757
110.1728,57,-1603.288757
111.3595,58,-1603.288757
112.9358,59,-1603.288757
115.0482,60,-1603.288757
116.4116,61,-1603.288757
118.0160,62,-1603.288757
120.0696,63,-1603.288757
121.6883,64,-1603.288757
124.4757,65,-1603.288757
126.8738,66,-1603.288757
129.0121,67,-1603.288757
131.3801,68,-1603.288757
133.3477,69,-1603.288757
135.5079,70,-1603.288757
137.4237,71,-1603.288757
139.4321,72,-1603.288757
141.6603,73,-1603.288757
144.4830,74,-1603.288757
146.5280,75,-1603.288757
148.4879,76,-1603.288757
150.2340,77,-1603.288757
152.8517,78,-1603.288757
154.6053,79,-1603.288757
156.2898,80,-1603.288757
158.2878,81,-1603.288757
160.0598,82,-1603.288757
162.3199,83,-1603.288757
164.3238,84,-1603.288757
166.6453,85,-1603.288757
168.4081,86,-1603.288757
170.0994,87,-1603.288757
172.0556,88,-1603.288757
173.4558,89,-1603.288757
174.5918,90,-1603.288757
176.1007,91,-1603.288757
177.4479,92,-1603.288757
179.0601,93,-1603.288757
181.0025,94,-1603.288757
182.0481,95,-1603.288757
183.3122,96,-1603.288757
184.3720,97,-1603.288757
185.0878,98,-1603.288757
186.6462,99,-1603.288757
188.2238,100,-1603.288757
189.4402,101,-1603.288757
190.4201,102,-1603.288757
192.1421,103,-1603.288757
193.5239,104,-1603.288757
194.8374,105,-1603.288757
196.1716,106,-1603.288757
196.8809,107,-1603.288757
197.8937,108,-1603.288757
199.2199,109,-1603.288757
200.2678,110,-1603.288757
201.2760,111,-1603.288757
202.8802,112,-1603.288757
203.8551,113,-1603.288757
204.2502,114,-1603.288757
205.1437,115,-1603.288757
206.3202,116,-1603.288757
208.2399,117,-1603.288757
210.1823,118,-1603.288757
210.8879,119,-1603.288757
212.1678,120,-1603.288757
213.1844,121,-1603.288757
214.6443,122,-1603.288757
215.3477,123,-1603.288757
216.5282,124,-1603.288757
217.7479,125,-1603.288757
219.3040,126,-1603.288757
220.5762,127,-1603.288757
221.6398,128,-1603.288757
223.5322,129,-1603.288757
225.6881,130,-1603.288757
226.3201,131,-1603.288757
228.2519,132,-1603.288757
229.6242,133,-1603.288757
230.4507,134,-1603.288757
231.6083,135,-1603.288757
