SEED: 1057154528
BEST: -541.8326721191406
t,generation,fitness
3.4691,0,-1555.095734
5.4757,1,-1109.813538
7.7699,2,-1109.813538
9.6086,3,-1109.813538
11.4499,4,-1109.813538
14.3109,5,-865.251434
15.5099,6,-865.251434
18.2558,7,-865.251434
20.0460,8,-865.251434
22.0342,9,-865.251434
24.8660,10,-865.251434
26.6264,11,-865.251434
28.8004,12,-865.251434
31.2623,13,-865.251434
33.2145,14,-865.251434
34.6421,15,-865.251434
36.7486,16,-865.251434
38.6940,17,-865.251434
40.4813,18,-865.251434
42.2100,19,-865.251434
44.1264,20,-865.251434
46.7340,21,-865.251434
48.9900,22,-865.251434
51.5183,23,-865.251434
53.4819,24,-865.251434
55.2983,25,-865.251434
57.4260,26,-865.251434
58.3580,27,-865.251434
60.1300,28,-865.251434
62.5419,29,-865.251434
63.7343,30,-865.251434
65.1341,31,-865.251434
67.2061,32,-865.251434
69.3300,33,-865.251434
71.1822,34,-865.251434
72.6300,35,-865.251434
74.4820,36,-865.251434
79.8007,37,-865.251434
82.2462,38,-865.251434
84.3380,39,-865.251434
85.8901,40,-865.251434
88.0663,41,-865.251434
89.6661,42,-865.251434
91.5383,43,-865.251434
92.9500,44,-865.251434
94.0463,45,-865.251434
96.3942,46,-865.251434
98.8421,47,-865.251434
100.4102,48,-865.251434
102.4181,49,-865.251434
104.5188,50,-865.251434
106.6142,51,-865.251434
108.6741,52,-865.251434
111.4388,53,-865.251434
114.4349,54,-865.251434
116.6580,55,-865.251434
118.6979,56,-865.251434
120.9267,57,-865.251434
123.4293,58,-865.251434
125.5221,59,-865.251434
127.2422,60,-865.251434
129.5540,61,-865.251434
131.3971,62,-865.251434
133.4100,63,-865.251434
135.4101,64,-865.251434
136.6619,65,-865.251434
138.9859,66,-865.251434
141.0540,67,-865.251434
143.1740,68,-865.251434
144.8540,69,-865.251434
147.2300,70,-865.251434
149.0869,71,-865.251434
151.1181,72,-865.251434
153.0589,73,-865.251434
154.9300,74,-865.251434
157.7982,75,-777.394211
160.6700,76,-777.394211
162.5581,77,-777.394211
165.5020,78,-777.394211
167.8702,79,-777.394211
169.9705,80,-777.394211
172.6781,81,-777.394211
175.4143,82,-777.394211
177.7501,83,-777.394211
179.9460,84,-777.394211
181.8835,85,-777.394211
183.5900,86,-777.394211
185.7580,87,-777.394211
187.2382,88,-777.394211
189.5885,89,-777.394211
191.1339,90,-777.394211
192.8898,91,-777.394211
194.9904,92,-777.394211
196.5790,93,-641.057159
199.7381,94,-641.057159
