SEED: 3548749002
BEST: -345.2888488769531
t,generation,fitness
3.7833,0,-3940.253677
5.0611,1,-3940.253677
8.0252,2,-2977.939804
11.5131,3,-2829.668488
15.1451,4,-2407.329071
18.6490,5,-2407.329071
21.7672,6,-2169.720978
23.6490,7,-2169.720978
26.7210,8,-1594.003647
29.3771,9,-1282.232147
32.1051,10,-1282.232147
34.5212,11,-1282.232147
37.2011,12,-1282.232147
40.3651,13,-954.314911
43.2731,14,-954.314911
45.5853,15,-952.122284
47.8451,16,-702.913666
50.4691,17,-702.913666
56.1297,18,-702.913666
59.6574,19,-702.913666
62.4381,20,-702.913666
64.7531,21,-702.913666
66.9490,22,-702.913666
68.5410,23,-702.913666
71.2410,24,-702.913666
73.2772,25,-702.913666
75.2504,26,-403.569229
78.2692,27,-403.569229
80.1490,28,-403.569229
82.6446,29,-403.569229
85.2932,30,-403.569229
88.1771,31,-403.569229
90.3811,32,-403.569229
92.9370,33,-403.569229
95.4304,34,-403.569229
96.7693,35,-403.569229
99.5532,36,-403.569229
101.4211,37,-403.569229
103.8251,38,-403.569229
105.9092,39,-403.569229
107.6414,40,-403.569229
109.8451,41,-403.569229
112.2131,42,-403.569229
114.1812,43,-403.569229
116.9012,44,-403.569229
119.3978,45,-403.569229
121.2851,46,-403.569229
123.2373,47,-403.569229
124.9491,48,-403.569229
127.1665,49,-403.569229
129.2493,50,-403.569229
131.4731,51,-403.569229
133.6170,52,-403.569229
135.9293,53,-403.569229
138.8730,54,-403.569229
140.2569,55,-403.569229
142.7851,56,-403.569229
143.7490,57,-403.569229
146.7291,58,-403.569229
148.0732,59,-403.569229
150.2290,60,-403.569229
152.2251,61,-403.569229
154.3611,62,-403.569229
156.3485,63,-403.569229
158.8412,64,-403.569229
160.9652,65,-403.569229
163.7336,66,-403.569229
165.7131,67,-403.569229
168.0331,68,-403.569229
170.5931,69,-403.569229
173.2573,70,-403.569229
176.1991,71,-403.569229
178.9190,72,-403.569229
181.6773,73,-403.569229
184.0172,74,-403.569229
186.4850,75,-403.569229
188.0291,76,-403.569229
190.8220,77,-403.569229
192.7610,78,-403.569229
194.5812,79,-403.569229
196.8211,80,-403.569229
198.7534,81,-402.322754
200.4372,82,-402.322754
202.9468,83,-402.322754
206.3412,84,-402.322754
208.0331,85,-402.322754
209.9090,86,-402.322754
213.2530,87,-402.322754
215.6003,88,-402.322754
217.9931,89,-402.322754
220.6371,90,-402.322754
223.4131,91,-402.322754
224.8610,92,-402.322754
227.2651,93,-402.322754
229.2371,94,-402.322754
231.6851,95,-402.322754
233.2491,96,-402.322754
236.5370,97,-402.322754
241.4051,98,-402.322754
243.9372,99,-402.322754
246.5613,100,-402.322754
249.1652,101,-365.904175
250.8691,102,-365.904175
252.9450,103,-365.904175
254.9412,104,-365.904175
257.2532,105,-365.904175
259.5053,106,-365.904175
262.1172,107,-365.904175
263.6406,108,-365.904175
265.5268,109,-365.904175
267.0465,110,-365.904175
269.0211,111,-365.904175
271.2651,112,-365.904175
272.7006,113,-365.904175
275.3051,114,-365.904175
276.9290,115,-365.904175
279.4331,116,-365.904175
282.0572,117,-365.904175
284.9412,118,-365.904175
287.0223,119,-365.904175
289.2718,120,-365.904175
291.0771,121,-365.904175
293.1372,122,-365.904175
294.6371,123,-365.904175
296.7731,124,-365.904175
299.1293,125,-365.904175
301.4158,126,-365.904175
302.8573,127,-365.904175
305.2045,128,-365.904175
307.1211,129,-365.904175
309.3771,130,-365.904175
311.5451,131,-365.904175
313.2171,132,-365.904175
315.5490,133,-365.904175
318.3336,134,-365.904175
320.2173,135,-359.236710
322.1376,136,-359.236710
324.3330,137,-359.236710
326.3766,138,-359.236710
328.4051,139,-359.236710
330.9251,140,-359.236710
332.9651,141,-359.236710
335.1851,142,-359.236710
337.3852,143,-359.236710
339.5691,144,-359.236710
342.3515,145,-359.236710
344.6812,146,-359.236710
346.4292,147,-359.236710
348.7009,148,-359.236710
350.8130,149,-359.236710
352.9051,150,-359.236710
354.6654,151,-359.236710
357.3491,152,-359.236710
359.0411,153,-359.236710
360.7132,154,-359.236710
363.1932,155,-359.236710
365.7450,156,-359.236710
368.0930,157,-359.236710
371.0632,158,-359.236710
374.0372,159,-359.236710
375.8931,160,-359.236710
378.3180,161,-359.236710
381.2611,162,-359.236710
383.6611,163,-359.236710
386.1070,164,-359.236710
388.9971,165,-359.236710
391.8490,166,-359.236710
394.4691,167,-359.236710
397.0217,168,-359.236710
399.8772,169,-359.236710
403.0970,170,-359.236710
405.2611,171,-359.236710
408.5491,172,-359.236710
411.0652,173,-359.236710
413.7331,174,-359.236710
416.1572,175,-359.236710
418.5813,176,-359.236710
423.8428,177,-359.236710
425.8653,178,-359.236710
428.4613,179,-359.236710
430.7139,180,-359.236710
432.8898,181,-359.236710
435.7124,182,-359.236710
438.0151,183,-359.236710
441.0693,184,-359.236710
443.7022,185,-359.236710
446.1733,186,-359.236710
449.1172,187,-359.236710
451.3731,188,-359.236710
452.9983,189,-359.236710
455.4973,190,-359.236710
457.4971,191,-359.236710
460.1893,192,-359.236710
463.8092,193,-359.236710
465.1491,194,-359.236710
467.6772,195,-359.236710
470.6491,196,-359.236710
472.7091,197,-359.236710
475.2571,198,-359.236710
478.2211,199,-359.236710
481.2333,200,-359.236710
483.2652,201,-359.236710
485.3981,202,-359.236710
487.6813,203,-359.236710
490.8737,204,-359.236710
493.6461,205,-359.236710
495.8572,206,-359.236710
498.3691,207,-359.236710
500.6771,208,-359.236710
502.6970,209,-359.236710
505.3692,210,-359.236710
508.1611,211,-359.236710
510.6652,212,-359.236710
513.5171,213,-359.236710
515.6691,214,-359.236710
518.1252,215,-359.236710
520.5451,216,-359.236710
523.1131,217,-359.236710
524.8931,218,-359.236710
