SEED: 4098854854
BEST: -3310.2603302001953
t,generation,fitness
2.4594,0,-3940.253677
3.8776,1,-3940.253677
5.6094,2,-3940.253677
7.1494,3,-3940.253677
9.3760,4,-3940.253677
11.3974,5,-3940.253677
13.6694,6,-3940.253677
16.2534,7,-3940.253677
18.3733,8,-3940.253677
20.4695,9,-3940.253677
22.2410,10,-3940.253677
24.7775,11,-3940.253677
27.3374,12,-3940.253677
29.5100,13,-3940.253677
32.0934,14,-3940.253677
35.6895,15,-3940.253677
38.4294,16,-3940.253677
40.1174,17,-3940.253677
43.7383,18,-3940.253677
46.2814,19,-3940.253677
48.2654,20,-3940.253677
50.8494,21,-3940.253677
55.0054,22,-3940.253677
57.5164,23,-3940.253677
59.7135,24,-3808.701141
62.4455,25,-3808.701141
66.1574,26,-3808.701141
67.7974,27,-3808.701141
68.5504,28,-3513.451981
69.6768,29,-3513.451981
70.8074,30,-3513.451981
72.2496,31,-3513.451981
73.9375,32,-3513.451981
75.3375,33,-3513.451981
77.1575,34,-3513.451981
79.1094,35,-3513.451981
81.0134,36,-3513.451981
82.1538,37,-3513.451981
83.0854,38,-3513.451981
84.1460,39,-3513.451981
85.0695,40,-3513.451981
85.8974,41,-3513.451981
87.8135,42,-3513.451981
88.2534,43,-3513.451981
89.5135,44,-3513.451981
91.1376,45,-3513.451981
92.3856,46,-3513.451981
93.9095,47,-3513.451981
95.0334,48,-3513.451981
96.9706,49,-3513.451981
98.8897,50,-3513.451981
99.9134,51,-3513.451981
102.0731,52,-3513.451981
104.0657,53,-3393.262177
105.3017,54,-3393.262177
107.1417,55,-3393.262177
109.4855,56,-3393.262177
110.0776,57,-3393.262177
112.4024,58,-3393.262177
113.9935,59,-3393.262177
117.6451,60,-3393.262177
122.1936,61,-3363.419113
124.5095,62,-3363.419113
126.9535,63,-3363.419113
129.8455,64,-3363.419113
132.1937,65,-3363.419113
133.9054,66,-3363.419113
136.5615,67,-3363.419113
138.5214,68,-3363.419113
139.8654,69,-3363.419113
142.2335,70,-3363.419113
144.6655,71,-3363.419113
147.5415,72,-3354.422882
149.7734,73,-3354.422882
152.7826,74,-3354.422882
153.9504,75,-3354.422882
156.7466,76,-3354.422882
158.9695,77,-3354.422882
160.9532,78,-3354.422882
163.2015,79,-3354.422882
164.9896,80,-3354.422882
167.1112,81,-3354.422882
169.2817,82,-3354.422882
172.0256,83,-3349.947098
174.3657,84,-3349.947098
176.8095,85,-3349.947098
179.1255,86,-3349.947098
181.5895,87,-3349.947098
183.9775,88,-3349.947098
187.1135,89,-3349.947098
189.9536,90,-3346.724182
