SEED: 156854920
BEST: -192.73773193359375
t,generation,fitness
3.6258,0,-3372.237518
6.1007,1,-2211.268570
8.9572,2,-2211.268570
12.0333,3,-2211.268570
15.3559,4,-797.331451
18.2078,5,-602.535065
22.4052,6,-602.535065
25.9133,7,-602.535065
29.2332,8,-602.535065
32.7132,9,-602.535065
35.5572,10,-602.535065
40.6092,11,-602.535065
46.6894,12,-579.791672
49.9053,13,-579.791672
53.8212,14,-579.791672
58.0527,15,-579.791672
61.4264,16,-505.760727
64.2843,17,-505.760727
67.7172,18,-505.760727
71.1332,19,-505.760727
73.0603,20,-505.760727
75.4972,21,-483.669113
78.5023,22,-483.669113
81.6173,23,-483.669113
84.4612,24,-440.348358
87.1452,25,-440.348358
89.8012,26,-440.348358
93.0254,27,-440.348358
94.4373,28,-440.348358
95.8299,29,-414.990021
97.8052,30,-414.990021
99.5132,31,-414.990021
100.6693,32,-414.990021
102.7352,33,-414.990021
104.2424,34,-414.990021
106.2332,35,-414.990021
108.2252,36,-414.990021
109.6178,37,-407.763123
111.4932,38,-407.763123
113.5653,39,-407.763123
115.9494,40,-379.857422
118.2333,41,-379.857422
120.5413,42,-379.857422
122.5933,43,-379.857422
123.6933,44,-379.857422
125.0413,45,-379.857422
126.6113,46,-379.857422
128.8534,47,-379.857422
129.9932,48,-379.857422
131.5853,49,-379.857422
132.9074,50,-379.857422
134.6603,51,-379.857422
136.9015,52,-379.857422
139.1773,53,-379.857422
141.4133,54,-379.857422
143.4587,55,-379.857422
144.8733,56,-379.857422
147.1894,57,-379.857422
149.7537,58,-379.857422
151.7934,59,-379.857422
153.8496,60,-378.785400
156.4695,61,-378.785400
158.6301,62,-378.785400
160.2332,63,-378.785400
162.5813,64,-378.785400
165.5815,65,-378.785400
167.3094,66,-378.785400
169.1933,67,-378.785400
171.7214,68,-378.785400
173.5013,69,-339.695648
175.0695,70,-241.470459
176.9533,71,-241.470459
178.9540,72,-241.470459
180.9936,73,-241.470459
183.1654,74,-241.470459
185.5173,75,-241.470459
187.8452,76,-241.470459
190.0373,77,-241.470459
191.6733,78,-241.470459
193.5813,79,-241.470459
195.7493,80,-241.470459
198.3573,81,-241.470459
199.8543,82,-241.470459
202.4452,83,-241.470459
204.7374,84,-241.470459
207.0093,85,-241.470459
208.9013,86,-241.470459
211.1692,87,-241.470459
214.0412,88,-241.470459
215.8253,89,-241.470459
218.2934,90,-241.470459
220.7333,91,-241.470459
223.1693,92,-241.470459
227.6766,93,-241.470459
230.2973,94,-241.470459
232.9773,95,-241.470459
234.8378,96,-241.470459
237.0093,97,-241.470459
239.2377,98,-241.470459
242.0584,99,-241.470459
244.3654,100,-241.470459
246.9974,101,-241.470459
250.0815,102,-241.470459
252.3853,103,-241.470459
255.0694,104,-241.470459
257.2092,105,-241.470459
259.9498,106,-241.470459
262.5812,107,-241.470459
264.5612,108,-241.470459
266.1853,109,-241.470459
268.2254,110,-241.470459
270.7693,111,-241.470459
272.8454,112,-241.470459
275.4732,113,-241.470459
277.1251,114,-241.470459
279.1013,115,-241.470459
281.3736,116,-241.470459
283.2053,117,-241.459610
285.8853,118,-241.459610
288.3456,119,-241.459610
290.5534,120,-241.459610
293.0454,121,-241.459610
294.9295,122,-241.459610
297.1772,123,-241.459610
299.5452,124,-241.459610
302.0613,125,-241.459610
304.1214,126,-241.459610
306.3693,127,-241.459610
309.1533,128,-241.459610
311.6000,129,-241.459610
314.3495,130,-241.459610
316.9533,131,-241.459610
318.9613,132,-241.459610
321.6813,133,-241.459610
324.1893,134,-241.395798
326.8013,135,-241.395798
328.0572,136,-241.395798
330.7212,137,-241.395798
332.7817,138,-241.395798
335.4773,139,-241.395798
337.9615,140,-241.395798
340.1493,141,-241.395798
342.0014,142,-241.395798
344.4614,143,-241.395798
347.3735,144,-241.395798
349.3773,145,-241.395798
350.9055,146,-241.395798
353.6006,147,-241.395798
356.1893,148,-241.395798
358.9732,149,-241.395798
361.3774,150,-241.395798
362.9733,151,-241.395798
365.6815,152,-241.395798
367.9534,153,-241.395798
370.6654,154,-241.395798
372.6813,155,-241.395798
375.2493,156,-241.395798
377.8253,157,-241.395798
380.0013,158,-241.395798
382.6136,159,-241.395798
385.1773,160,-241.395798
387.4490,161,-241.395798
390.7573,162,-241.395798
392.8175,163,-241.395798
395.1853,164,-241.395798
397.4934,165,-241.395798
399.9179,166,-241.395798
402.4253,167,-241.395798
404.5654,168,-241.395798
408.5651,169,-241.395798
411.4641,170,-241.395798
414.2735,171,-241.395798
416.7455,172,-241.395798
419.0211,173,-241.395798
421.7054,174,-241.395798
423.4733,175,-241.395798
426.0775,176,-241.395798
428.3015,177,-241.395798
430.9734,178,-241.395798
433.1892,179,-241.395798
435.1448,180,-241.395798
438.1013,181,-241.395798
440.9972,182,-241.395798
443.3388,183,-241.395798
445.5974,184,-241.395798
447.5417,185,-241.395798
450.0293,186,-241.395798
452.6973,187,-241.395798
454.5933,188,-241.395798
456.1012,189,-241.395798
457.9295,190,-241.395798
459.1613,191,-241.395798
461.1493,192,-241.395798
463.6254,193,-241.395798
465.7692,194,-241.395798
467.7293,195,-241.395798
469.9772,196,-241.395798
472.4294,197,-241.395798
475.1293,198,-241.395798
477.9094,199,-241.395798
480.3936,200,-241.395798
482.7934,201,-241.395798
485.1453,202,-241.395798
487.3013,203,-241.395798
489.5174,204,-241.395798
491.7001,205,-241.395798
493.9335,206,-241.395798
495.9773,207,-241.395798
498.8172,208,-241.395798
501.6612,209,-241.395798
504.1854,210,-241.395798
506.5895,211,-241.395798
509.1733,212,-241.395798
511.5653,213,-241.395798
514.1339,214,-236.245300
516.4093,215,-236.245300
518.9774,216,-236.245300
521.1174,217,-236.245300
524.1895,218,-236.245300
526.5294,219,-236.245300
528.5830,220,-236.245300
530.9213,221,-236.245300
532.9735,222,-236.245300
535.5733,223,-236.245300
537.7535,224,-236.245300
540.1413,225,-236.245300
542.2494,226,-236.245300
545.1546,227,-236.245300
547.3681,228,-236.245300
549.2933,229,-236.245300
551.9454,230,-236.245300
554.3854,231,-236.245300
557.6054,232,-236.245300
560.9774,233,-236.178619
