SEED: 4131004762
BEST: -2547.3770446777344
t,generation,fitness
4.1349,0,-3419.595184
7.8856,1,-3419.595184
10.6938,2,-3419.595184
13.5700,3,-3419.595184
16.6544,4,-3419.595184
19.2099,5,-3419.595184
21.0177,6,-3419.595184
23.3748,7,-3419.595184
25.4181,8,-3419.595184
27.5338,9,-3410.516510
28.9501,10,-3410.516510
30.8987,11,-3410.516510
33.1779,12,-3410.516510
34.2314,13,-3410.516510
36.0796,14,-3410.516510
38.0023,15,-3409.169189
41.0100,16,-3409.169189
43.8781,17,-3409.169189
46.6186,18,-3409.169189
50.6138,19,-3409.169189
52.6489,20,-3409.169189
54.8745,21,-3409.169189
56.7620,22,-3409.169189
59.9420,23,-3408.681396
63.1097,24,-3332.007324
65.2502,25,-3332.007324
67.4623,26,-3332.007324
69.5622,27,-3055.271255
73.0832,28,-2845.032440
75.5543,29,-2845.032440
77.5897,30,-2845.032440
79.4300,31,-2845.032440
81.3822,32,-2845.032440
85.7979,33,-2845.032440
88.0146,34,-2845.032440
91.3379,35,-2696.610382
94.7667,36,-2696.610382
97.3703,37,-2696.610382
99.7463,38,-2696.610382
102.4382,39,-2696.610382
106.2982,40,-2696.610382
109.9386,41,-2658.640549
112.4627,42,-2658.640549
115.2386,43,-2658.640549
117.4700,44,-2658.640549
120.1064,45,-2658.420883
122.2217,46,-2658.420883
125.1857,47,-2658.420883
127.0740,48,-2658.420883
129.4743,49,-2658.420883
132.2190,50,-2658.420883
135.0982,51,-2658.420883
137.8457,52,-2658.420883
141.8377,53,-2658.420883
145.2234,54,-2658.420883
148.9777,55,-2658.420883
151.6876,56,-2658.420883
154.5106,57,-2658.420883
156.8344,58,-2658.420883
160.8306,59,-2658.420883
163.4423,60,-2658.420883
167.2666,61,-2658.420883
170.3125,62,-2658.420883
173.3222,63,-2658.420883
176.3581,64,-2658.420883
179.4143,65,-2658.420883
183.1728,66,-2658.420883
187.3298,67,-2658.128571
191.4095,68,-2653.361465
194.0979,69,-2653.361465
197.6220,70,-2653.361465
202.6829,71,-2653.361465
205.9303,72,-2653.361465
208.7903,73,-2653.361465
213.4704,74,-2653.361465
216.9503,75,-2653.361465
221.2669,76,-2650.079208
225.9343,77,-2650.079208
229.2941,78,-2650.079208
232.7104,79,-2642.342545
236.1584,80,-2642.342545
239.6668,81,-2642.342545
242.7517,82,-2642.342545
245.5144,83,-2642.342545
248.7183,84,-2642.342545
251.7381,85,-2642.342545
255.4133,86,-2642.342545
258.3223,87,-2642.342545
261.0665,88,-2642.342545
263.1261,89,-2642.342545
266.1781,90,-2642.342545
268.6666,91,-2642.342545
271.2058,92,-2642.342545
273.2982,93,-2642.342545
276.7062,94,-2642.342545
279.3742,95,-2642.342545
281.6740,96,-2642.342545
283.9181,97,-2642.342545
287.0486,98,-2642.342545
289.8865,99,-2642.342545
293.2989,100,-2642.342545
296.5216,101,-2642.342545
299.6136,102,-2642.342545
302.4416,103,-2642.342545
304.3899,104,-2642.342545
306.5179,105,-2642.342545
309.3159,106,-2642.342545
311.1025,107,-2642.342545
313.9807,108,-2642.342545
316.6332,109,-2642.342545
319.9992,110,-2642.342545
322.8035,111,-2642.342545
325.3409,112,-2642.342545
327.9459,113,-2642.342545
330.1859,114,-2642.342545
332.8581,115,-2642.342545
336.1268,116,-2642.342545
338.4982,117,-2642.342545
341.1619,118,-2642.342545
343.6067,119,-2642.342545
346.0065,120,-2642.342545
348.3303,121,-2642.342545
351.7130,122,-2642.342545
354.6990,123,-2642.342545
357.4457,124,-2642.342545
360.4098,125,-2642.342545
363.4688,126,-2642.342545
367.1104,127,-2642.342545
369.8660,128,-2642.342545
372.5359,129,-2642.342545
374.6138,130,-2642.342545
378.9200,131,-2642.342545
381.7619,132,-2642.342545
384.7027,133,-2642.342545
387.2753,134,-2642.342545
389.8380,135,-2642.342545
392.8715,136,-2642.342545
395.3700,137,-2642.342545
398.3658,138,-2642.342545
401.4239,139,-2642.342545
403.6545,140,-2642.342545
406.8337,141,-2642.342545
409.2577,142,-2642.342545
412.4057,143,-2642.342545
414.7338,144,-2642.342545
417.8903,145,-2642.342545
420.4898,146,-2642.342545
422.1977,147,-2642.342545
425.1462,148,-2642.342545
426.6538,149,-2642.342545
430.1582,150,-2642.342545
432.6586,151,-2642.342545
435.7105,152,-2642.342545
438.1623,153,-2642.342545
440.4699,154,-2642.342545
442.5772,155,-2642.342545
445.2497,156,-2642.342545
447.6303,157,-2642.342545
450.8822,158,-2642.342545
454.3944,159,-2642.342545
457.1661,160,-2642.342545
461.2743,161,-2642.342545
464.0500,162,-2642.342545
466.4702,163,-2642.342545
469.1982,164,-2642.342545
472.2801,165,-2642.342545
475.0106,166,-2642.342545
478.1979,167,-2642.342545
481.4424,168,-2642.342545
483.8587,169,-2642.342545
486.5138,170,-2642.342545
489.2583,171,-2642.342545
491.0462,172,-2642.342545
493.8157,173,-2642.342545
495.6822,174,-2642.342545
498.1323,175,-2642.342545
500.4220,176,-2642.342545
502.5034,177,-2642.342545
504.9210,178,-2642.342545
507.1630,179,-2642.342545
509.2826,180,-2642.342545
511.2223,181,-2642.342545
513.7259,182,-2642.342545
516.1506,183,-2642.342545
518.9519,184,-2642.342545
521.1504,185,-2642.342545
523.5343,186,-2642.342545
526.0366,187,-2642.342545
528.2019,188,-2642.342545
530.4505,189,-2642.342545
532.5889,190,-2642.342545
535.2900,191,-2642.342545
537.9581,192,-2642.342545
540.2421,193,-2642.342545
543.2700,194,-2642.342545
546.1462,195,-2642.342545
548.4220,196,-2642.342545
