SEED: 4056650308
BEST: -1104.4229278564453
t,generation,fitness
2.8601,0,-3749.978622
4.5562,1,-3749.978622
6.1883,2,-3053.708496
7.1837,3,-2397.686737
8.7242,4,-2397.686737
10.5683,5,-2397.686737
12.4795,6,-2397.686737
14.3317,7,-2397.686737
15.8884,8,-1889.793518
17.9397,9,-1889.793518
20.1961,10,-1703.675751
22.5713,11,-1703.675751
24.8224,12,-1703.675751
27.1763,13,-1703.675751
29.1521,14,-1703.675751
31.8105,15,-1703.675751
33.9041,16,-1703.675751
35.9055,17,-1703.675751
37.8121,18,-1703.675751
39.8683,19,-1703.675751
41.9638,20,-1703.675751
45.2762,21,-1703.675751
47.4041,22,-1703.675751
49.2283,23,-1703.675751
51.9843,24,-1703.675751
53.9805,25,-1703.675751
55.8743,26,-1694.625931
58.4147,27,-1694.625931
60.7723,28,-1694.625931
62.4718,29,-1677.713837
65.0292,30,-1677.713837
67.3200,31,-1677.713837
70.0662,32,-1677.713837
72.5041,33,-1677.713837
74.1040,34,-1677.713837
76.1602,35,-1677.713837
77.7402,36,-1542.449844
79.7000,37,-1542.449844
82.0483,38,-1542.449844
84.5357,39,-1542.449844
86.6084,40,-1542.449844
89.0364,41,-1542.449844
90.9238,42,-1542.449844
93.0481,43,-1542.449844
95.9162,44,-1542.449844
98.0602,45,-1542.449844
100.0565,46,-1542.449844
102.0801,47,-1542.449844
104.1721,48,-1542.449844
106.4962,49,-1542.449844
108.7760,50,-1542.449844
111.1434,51,-1514.391098
113.3601,52,-1514.391098
115.2042,53,-1514.391098
117.9159,54,-1514.391098
120.6533,55,-1514.391098
122.9056,56,-1514.391098
125.1319,57,-1511.131943
126.7162,58,-1511.131943
129.5001,59,-1511.131943
131.7701,60,-1511.131943
134.5045,61,-1511.131943
137.3306,62,-1511.131943
138.5519,63,-1511.131943
141.4805,64,-1511.131943
144.1665,65,-1511.131943
147.2041,66,-1511.131943
149.6761,67,-1486.121506
152.4925,68,-1486.121506
155.2545,69,-1486.121506
158.9162,70,-1486.121506
161.3982,71,-1486.121506
165.1542,72,-1486.121506
168.4321,73,-1486.121506
171.8561,74,-1486.121506
175.1255,75,-1486.121506
177.4885,76,-1486.121506
179.7279,77,-1486.121506
182.3523,78,-1486.121506
184.2402,79,-1486.121506
186.7644,80,-1486.121506
189.8918,81,-1486.121506
191.9561,82,-1486.121506
194.5272,83,-1486.121506
197.0922,84,-1486.121506
199.6924,85,-1486.121506
201.7814,86,-1486.121506
205.6601,87,-1486.121506
208.2001,88,-1480.671066
210.5722,89,-1480.671066
213.2242,90,-1480.671066
215.7641,91,-1480.671066
218.3762,92,-1480.671066
221.0921,93,-1480.671066
223.3385,94,-1480.671066
225.9082,95,-1480.671066
229.1458,96,-1480.671066
231.6641,97,-1480.671066
234.5402,98,-1480.671066
236.9161,99,-1480.671066
238.8800,100,-1480.671066
241.8361,101,-1452.152023
243.8435,102,-1452.152023
246.7922,103,-1452.152023
249.6443,104,-1452.152023
251.8735,105,-1440.110489
254.4480,106,-1440.110489
256.6532,107,-1440.110489
259.2484,108,-1440.110489
261.7784,109,-1440.110489
263.6643,110,-1384.681046
266.0838,111,-1384.681046
268.0683,112,-1384.681046
270.2020,113,-1384.681046
272.1085,114,-1384.681046
274.7243,115,-1384.681046
277.1205,116,-1384.681046
279.4084,117,-1384.681046
282.3004,118,-1384.681046
284.7281,119,-1384.681046
287.2858,120,-1384.681046
290.1682,121,-1384.681046
292.4442,122,-1384.681046
294.5042,123,-1384.681046
297.1043,124,-1384.681046
299.4334,125,-1384.681046
301.5162,126,-1384.681046
303.8824,127,-1384.681046
305.9088,128,-1384.681046
308.0122,129,-1384.681046
310.6483,130,-1384.681046
312.9084,131,-1384.681046
315.6660,132,-1384.681046
318.5481,133,-1373.970352
321.0681,134,-1373.970352
323.6627,135,-1373.970352
325.5482,136,-1373.970352
327.9398,137,-1373.970352
330.0847,138,-1373.970352
332.3962,139,-1373.970352
335.0682,140,-1373.970352
337.5441,141,-1373.970352
340.3780,142,-1373.970352
342.5362,143,-1373.970352
345.0281,144,-1373.970352
347.0643,145,-1373.970352
351.5080,146,-1373.970352
353.4654,147,-1373.970352
356.0241,148,-1373.970352
358.6043,149,-1373.970352
361.0483,150,-1373.970352
363.1920,151,-1373.970352
365.7283,152,-1373.970352
367.9842,153,-1373.970352
370.0122,154,-1373.970352
372.2002,155,-1373.970352
374.3003,156,-1373.970352
376.7683,157,-1373.970352
379.0840,158,-1373.970352
381.0961,159,-1373.970352
384.2562,160,-1354.812149
386.0162,161,-1354.812149
389.0361,162,-1354.812149
390.9123,163,-1354.812149
393.4123,164,-1354.812149
395.5806,165,-1354.812149
397.0440,166,-1354.812149
399.1525,167,-1354.812149
401.1083,168,-1354.812149
403.3602,169,-1354.812149
406.0000,170,-1354.812149
408.1614,171,-1354.812149
410.0846,172,-1354.812149
412.1285,173,-1354.812149
414.8464,174,-1354.812149
417.3080,175,-1354.812149
419.5436,176,-1354.812149
421.6805,177,-1354.812149
423.7961,178,-1354.812149
426.1804,179,-1354.812149
428.8761,180,-1354.812149
430.8841,181,-1354.812149
433.3285,182,-1354.812149
435.2868,183,-1354.812149
437.9318,184,-1354.812149
439.4962,185,-1354.812149
441.9920,186,-1354.812149
444.0060,187,-1354.812149
446.1003,188,-1354.812149
448.3636,189,-1354.812149
450.2601,190,-1354.812149
452.8088,191,-1354.812149
454.6535,192,-1354.812149
457.1271,193,-1354.812149
459.5561,194,-1354.812149
461.8264,195,-1354.812149
464.1601,196,-1341.654327
466.0104,197,-1341.654327
468.1722,198,-1341.654327
470.8522,199,-1341.654327
473.4131,200,-1341.654327
475.5595,201,-1341.654327
477.5112,202,-1341.654327
479.5993,203,-1217.290939
481.8324,204,-1217.290939
484.0404,205,-1217.290939
485.8842,206,-1217.290939
488.4281,207,-1217.290939
490.7120,208,-1217.290939
492.8523,209,-1217.290939
495.1966,210,-1217.290939
497.4241,211,-1217.290939
499.8404,212,-1217.290939
502.1844,213,-1217.290939
504.2803,214,-1217.290939
506.9442,215,-1217.290939
509.2362,216,-1217.290939
511.1442,217,-1217.290939
513.5067,218,-1217.290939
515.5202,219,-1217.290939
517.1561,220,-1217.290939
520.0842,221,-1217.290939
522.1943,222,-1217.290939
524.3164,223,-1217.290939
526.5649,224,-1217.290939
528.6302,225,-1217.290939
531.0370,226,-1217.290939
533.3724,227,-1217.290939
535.7284,228,-1217.290939
537.7042,229,-1217.290939
539.5883,230,-1217.290939
541.1563,231,-1217.290939
543.9321,232,-1217.290939
545.7286,233,-1217.290939
547.5923,234,-1217.290939
549.3866,235,-1164.450516
551.6920,236,-1164.450516
554.1395,237,-1164.450516
556.1983,238,-1164.450516
558.7311,239,-1164.450516
560.7797,240,-1164.450516
562.8009,241,-1164.450516
564.6287,242,-1164.450516
566.9361,243,-1164.450516
569.1881,244,-1164.450516
571.7602,245,-1164.450516
574.6202,246,-1164.450516
576.6084,247,-1164.450516
578.6482,248,-1164.450516
580.4042,249,-1164.450516
582.7323,250,-1164.450516
584.5242,251,-1164.450516
586.3859,252,-1164.450516
588.6284,253,-1150.084854
590.6715,254,-1150.084854
592.7481,255,-1150.084854
594.5203,256,-1150.084854
596.6279,257,-1150.084854
599.2719,258,-1150.084854
601.0162,259,-1150.084854
603.4162,260,-1150.084854
606.6085,261,-1149.802505
609.0563,262,-1149.802505
611.5883,263,-1149.802505
613.9723,264,-1149.802505
616.3527,265,-1149.802505
619.0802,266,-1149.802505
621.6384,267,-1149.802505
624.4042,268,-1149.802505
626.9084,269,-1149.802505
629.2719,270,-1149.802505
631.7526,271,-1149.802505
634.9204,272,-1149.802505
636.8882,273,-1149.802505
638.7963,274,-1149.802505
641.0202,275,-1149.802505
643.6632,276,-1149.802505
645.8724,277,-1149.802505
647.8919,278,-1149.802505
650.3558,279,-1149.802505
652.7764,280,-1149.802505
655.1604,281,-1149.802505
656.8840,282,-1148.432266
659.3030,283,-1148.432266
662.0322,284,-1148.432266
664.6002,285,-1148.432266
667.1762,286,-1148.432266
669.1565,287,-1148.432266
671.2564,288,-1148.432266
673.5041,289,-1148.432266
675.9441,290,-1148.432266
678.1563,291,-1148.432266
680.5362,292,-1148.432266
682.7644,293,-1148.432266
685.5363,294,-1148.432266
687.9102,295,-1148.432266
690.5483,296,-1148.432266
692.3642,297,-1148.432266
695.3319,298,-1148.432266
697.1723,299,-1148.432266
699.1525,300,-1148.432266
701.8643,301,-1148.432266
704.2441,302,-1148.432266
706.9898,303,-1143.252960
710.3644,304,-1143.252960
713.3481,305,-1143.252960
716.2613,306,-1143.252960
718.4279,307,-1138.312561
721.1664,308,-1138.312561
724.2844,309,-1138.312561
725.8922,310,-1138.312561
728.1789,311,-1138.312561
730.0121,312,-1138.312561
732.2963,313,-1138.312561
735.4504,314,-1138.312561
737.4442,315,-1138.312561
739.3284,316,-1138.312561
741.6683,317,-1138.312561
743.8843,318,-1138.312561
745.6243,319,-1138.312561
747.9104,320,-1138.312561
750.9844,321,-1138.312561
754.5713,322,-1138.312561
756.5041,323,-1138.312561
759.0800,324,-1138.312561
761.8641,325,-1138.312561
764.8121,326,-1138.312561
767.1562,327,-1138.312561
769.3802,328,-1138.312561
772.3724,329,-1138.312561
774.4589,330,-1138.312561
776.9245,331,-1138.312561
778.9288,332,-1138.312561
781.0483,333,-1138.312561
783.4886,334,-1138.312561
785.7921,335,-1138.312561
788.3643,336,-1138.312561
790.4684,337,-1138.312561
793.1564,338,-1138.312561
796.2644,339,-1138.312561
799.3522,340,-1138.312561
801.7531,341,-1138.312561
805.0642,342,-1138.312561
807.1362,343,-1138.312561
