SEED: 2991752370
BEST: -904.6167144775391
t,generation,fitness
3.6189,0,-3206.600327
4.9781,1,-3206.600327
6.0939,2,-3206.600327
7.2298,3,-2611.020737
9.2900,4,-2611.020737
11.5818,5,-2611.020737
14.0619,6,-2611.020737
16.0021,7,-2611.020737
18.1663,8,-2611.020737
19.9665,9,-2611.020737
22.3225,10,-2288.801285
25.0860,11,-2283.166351
27.8138,12,-1387.749893
31.3539,13,-1387.749893
33.7264,14,-1387.749893
36.5619,15,-1387.749893
39.2501,16,-1387.749893
42.2858,17,-1387.749893
46.7219,18,-1387.749893
50.6771,19,-1384.814148
54.7141,20,-1384.814148
58.5895,21,-958.446365
62.1135,22,-958.446365
65.9111,23,-958.446365
70.9258,24,-958.446365
73.5819,25,-958.446365
77.4181,26,-958.446365
80.7954,27,-946.210342
84.2017,28,-946.210342
87.5526,29,-946.210342
91.8098,30,-946.210342
96.0904,31,-946.210342
100.0780,32,-946.210342
103.5985,33,-946.210342
107.1504,34,-946.210342
110.5217,35,-942.275085
114.0535,36,-942.275085
117.7338,37,-942.275085
121.1101,38,-942.275085
125.4342,39,-942.275085
128.5243,40,-942.275085
132.0346,41,-942.275085
135.1438,42,-942.275085
138.8618,43,-942.275085
142.3654,44,-942.275085
145.7900,45,-942.275085
149.7979,46,-942.275085
153.3616,47,-942.275085
157.0751,48,-942.275085
160.8218,49,-942.275085
163.6915,50,-942.275085
167.0709,51,-942.275085
171.3859,52,-942.275085
175.2011,53,-942.275085
178.0820,54,-942.275085
181.0004,55,-942.275085
185.6628,56,-942.275085
189.7623,57,-942.275085
193.9220,58,-942.275085
196.9541,59,-942.275085
201.8182,60,-942.275085
205.8726,61,-942.275085
210.0380,62,-942.275085
214.9577,63,-942.275085
219.3459,64,-942.275085
223.6459,65,-942.275085
227.7259,66,-942.275085
231.9985,67,-942.275085
236.1285,68,-942.275085
240.2896,69,-942.275085
243.7624,70,-942.275085
248.5498,71,-942.275085
253.1790,72,-942.275085
257.2408,73,-942.275085
260.8057,74,-942.275085
264.8095,75,-942.275085
268.6376,76,-942.275085
273.6257,77,-942.275085
277.1616,78,-942.275085
280.7535,79,-942.275085
284.3418,80,-942.275085
288.7254,81,-942.275085
293.3000,82,-942.275085
296.9615,83,-942.275085
301.2297,84,-942.275085
305.1020,85,-942.275085
309.1459,86,-942.275085
312.7614,87,-942.275085
316.9503,88,-937.916107
321.2656,89,-937.916107
325.9856,90,-937.916107
331.0335,91,-937.916107
335.9415,92,-937.916107
340.6809,93,-937.916107
344.8137,94,-937.916107
349.2578,95,-937.916107
352.8460,96,-937.916107
357.1075,97,-937.916107
360.9255,98,-937.916107
364.3662,99,-937.916107
366.7658,100,-931.459534
369.6139,101,-931.459534
373.1616,102,-931.459534
376.0498,103,-931.459534
379.9374,104,-931.459534
383.2316,105,-931.459534
386.8789,106,-931.459534
390.4375,107,-931.459534
394.2536,108,-931.459534
398.2457,109,-929.928879
