SEED: 686027802
BEST: -1361.7168884277344
t,generation,fitness
2.8444,0,-2117.880814
4.9978,1,-2117.880814
6.3496,2,-2117.880814
8.0019,3,-2117.880814
9.3978,4,-2117.880814
10.7698,5,-2117.880814
12.5266,6,-2117.880814
13.5218,7,-2117.880814
15.5180,8,-2117.880814
16.5058,9,-2117.880814
19.0060,10,-2117.880814
19.8298,11,-2117.880814
20.6258,12,-2117.880814
22.6140,13,-2117.880814
24.2180,14,-2117.880814
25.6278,15,-2117.880814
27.3943,16,-2117.880814
29.7895,17,-2117.880814
32.2866,18,-2117.880814
34.7821,19,-2117.880814
36.2878,20,-2117.880814
39.2349,21,-2117.880814
40.1946,22,-2117.880814
42.9509,23,-2117.880814
45.7457,24,-2117.880814
46.6425,25,-2117.880814
48.4384,26,-2117.880814
50.1145,27,-2117.880814
50.7066,28,-2117.880814
51.2787,29,-2117.880814
52.4303,30,-2117.880814
53.8382,31,-2117.880814
55.4829,32,-2117.880814
57.5143,33,-2117.880814
59.2268,34,-2117.880814
60.8944,35,-2117.880814
63.4426,36,-2117.880814
65.5729,37,-2117.880814
67.2703,38,-2117.880814
68.6480,39,-2117.880814
70.5386,40,-2117.880814
72.1304,41,-2117.880814
73.7064,42,-2117.880814
77.2685,43,-2117.880814
79.1424,44,-2117.880814
80.7027,45,-2117.880814
81.8803,46,-2117.880814
83.0553,47,-2117.880814
85.7302,48,-2117.880814
87.9145,49,-2117.880814
89.3779,50,-2117.880814
90.5904,51,-2117.880814
92.8700,52,-2117.880814
94.5196,53,-2117.880814
96.6784,54,-2117.880814
99.1863,55,-2117.880814
100.9541,56,-2117.880814
102.3100,57,-2117.880814
104.4331,58,-2117.880814
105.4464,59,-2117.880814
106.7704,60,-2117.880814
107.7342,61,-2117.880814
109.2222,62,-2117.880814
110.6945,63,-2117.880814
111.9465,64,-2117.880814
112.7663,65,-2117.880814
114.9549,66,-2117.880814
116.8105,67,-2117.880814
119.4167,68,-2117.880814
121.1709,69,-2117.880814
123.3026,70,-2117.880814
