SEED: 739146361
BEST: -2117.880813598633
t,generation,fitness
5.1979,0,-2117.880814
8.0779,1,-2117.880814
10.5138,2,-2117.880814
12.4578,3,-2117.880814
14.9262,4,-2117.880814
16.6460,5,-2117.880814
18.0060,6,-2117.880814
20.1342,7,-2117.880814
20.7257,8,-2117.880814
23.3658,9,-2117.880814
24.0376,10,-2117.880814
25.9427,11,-2117.880814
27.4297,12,-2117.880814
28.7579,13,-2117.880814
30.6219,14,-2117.880814
33.3259,15,-2117.880814
36.1024,16,-2117.880814
37.5458,17,-2117.880814
41.1260,18,-2117.880814
43.0325,19,-2117.880814
45.1706,20,-2117.880814
46.7534,21,-2117.880814
48.8387,22,-2117.880814
51.3582,23,-2117.880814
53.3341,24,-2117.880814
55.4820,25,-2117.880814
58.3020,26,-2117.880814
61.5423,27,-2117.880814
64.8827,28,-2117.880814
66.9948,29,-2117.880814
69.8823,30,-2117.880814
72.7902,31,-2117.880814
75.8660,32,-2117.880814
78.3825,33,-2117.880814
81.1238,34,-2117.880814
82.9922,35,-2117.880814
85.7262,36,-2117.880814
88.3261,37,-2117.880814
91.4500,38,-2117.880814
92.8805,39,-2117.880814
96.5739,40,-2117.880814
99.7421,41,-2117.880814
102.4529,42,-2117.880814
104.0948,43,-2117.880814
107.6340,44,-2117.880814
109.3703,45,-2117.880814
112.4582,46,-2117.880814
114.7702,47,-2117.880814
116.4343,48,-2117.880814
119.3941,49,-2117.880814
121.9347,50,-2117.880814
124.2861,51,-2117.880814
126.3580,52,-2117.880814
128.5074,53,-2117.880814
131.1418,54,-2117.880814
133.5243,55,-2117.880814
134.8781,56,-2117.880814
135.8499,57,-2117.880814
137.3699,58,-2117.880814
139.4383,59,-2117.880814
141.2541,60,-2117.880814
142.6345,61,-2117.880814
144.9703,62,-2117.880814
146.9180,63,-2117.880814
148.2496,64,-2117.880814
150.6544,65,-2117.880814
152.0019,66,-2117.880814
153.7138,67,-2117.880814
155.1741,68,-2117.880814
157.1419,69,-2117.880814
159.1496,70,-2117.880814
160.7663,71,-2117.880814
161.7742,72,-2117.880814
163.4662,73,-2117.880814
164.8929,74,-2117.880814
166.9024,75,-2117.880814
169.3619,76,-2117.880814
170.0860,77,-2117.880814
170.9708,78,-2117.880814
172.7462,79,-2117.880814
174.5817,80,-2117.880814
176.7776,81,-2117.880814
178.3104,82,-2117.880814
180.8167,83,-2117.880814
182.9261,84,-2117.880814
184.1657,85,-2117.880814
185.8081,86,-2117.880814
188.8003,87,-2117.880814
190.4102,88,-2117.880814
192.1861,89,-2117.880814
194.6980,90,-2117.880814
196.7180,91,-2117.880814
199.0976,92,-2117.880814
201.6818,93,-2117.880814
203.5618,94,-2117.880814
204.2498,95,-2117.880814
205.3498,96,-2117.880814
206.0983,97,-2117.880814
206.8902,98,-2117.880814
208.5900,99,-2117.880814
210.9097,100,-2117.880814
213.3778,101,-2117.880814
215.0864,102,-2117.880814
217.0978,103,-2117.880814
220.4021,104,-2117.880814
224.2180,105,-2117.880814
227.5902,106,-2117.880814
229.4576,107,-2117.880814
231.9857,108,-2117.880814
234.9671,109,-2117.880814
237.6338,110,-2117.880814
238.9925,111,-2117.880814
240.5019,112,-2117.880814
242.0978,113,-2117.880814
244.0419,114,-2117.880814
245.3581,115,-2117.880814
247.8019,116,-2117.880814
250.0263,117,-2117.880814
253.0739,118,-2117.880814
254.2063,119,-2117.880814
255.8906,120,-2117.880814
257.7260,121,-2117.880814
260.9749,122,-2117.880814
262.4067,123,-2117.880814
264.3222,124,-2117.880814
267.2103,125,-2117.880814
269.9180,126,-2117.880814
271.8353,127,-2117.880814
272.6220,128,-2117.880814
274.0618,129,-2117.880814
275.2781,130,-2117.880814
276.4904,131,-2117.880814
278.0420,132,-2117.880814
280.1020,133,-2117.880814
282.7083,134,-2117.880814
284.5416,135,-2117.880814
287.3298,136,-2117.880814
288.4055,137,-2117.880814
289.6458,138,-2117.880814
291.3415,139,-2117.880814
291.9517,140,-2117.880814
294.0583,141,-2117.880814
295.8040,142,-2117.880814
297.7337,143,-2117.880814
299.3377,144,-2117.880814
300.4135,145,-2117.880814
303.3539,146,-2117.880814
304.3277,147,-2117.880814
306.4340,148,-2117.880814
308.8146,149,-2117.880814
310.7902,150,-2117.880814
313.2059,151,-2117.880814
315.8138,152,-2117.880814
317.5298,153,-2117.880814
320.9368,154,-2117.880814
322.6897,155,-2117.880814
326.7302,156,-2117.880814
328.9620,157,-2117.880814
331.6856,158,-2117.880814
334.1181,159,-2117.880814
336.7795,160,-2117.880814
339.5336,161,-2117.880814
342.4656,162,-2117.880814
344.6862,163,-2117.880814
347.5784,164,-2117.880814
349.0097,165,-2117.880814
350.9341,166,-2117.880814
353.9460,167,-2117.880814
356.9658,168,-2117.880814
359.0815,169,-2117.880814
361.6680,170,-2117.880814
364.8416,171,-2117.880814
369.2685,172,-2117.880814
372.2101,173,-2117.880814
373.4690,174,-2117.880814
376.6141,175,-2117.880814
378.7178,176,-2117.880814
381.8575,177,-2117.880814
384.1700,178,-2117.880814
386.0381,179,-2117.880814
389.3940,180,-2117.880814
392.2382,181,-2117.880814
395.1825,182,-2117.880814
396.8461,183,-2117.880814
399.7144,184,-2117.880814
402.0587,185,-2117.880814
405.1249,186,-2117.880814
406.1628,187,-2117.880814
409.6901,188,-2117.880814
410.8739,189,-2117.880814
413.3426,190,-2117.880814
415.6588,191,-2117.880814
417.1300,192,-2117.880814
419.1579,193,-2117.880814
420.7023,194,-2117.880814
422.7365,195,-2117.880814
424.9065,196,-2117.880814
426.9947,197,-2117.880814
428.7677,198,-2117.880814
431.0026,199,-2117.880814
432.6507,200,-2117.880814
434.8301,201,-2117.880814
436.9582,202,-2117.880814
439.0705,203,-2117.880814
442.9461,204,-2117.880814
445.9545,205,-2117.880814
449.1620,206,-2117.880814
452.5579,207,-2117.880814
456.3347,208,-2117.880814
460.3341,209,-2117.880814
464.3377,210,-2117.880814
467.7461,211,-2117.880814
470.4703,212,-2117.880814
474.3665,213,-2117.880814
476.8505,214,-2117.880814
480.1383,215,-2117.880814
484.2363,216,-2117.880814
489.0551,217,-2117.880814
492.0392,218,-2117.880814
494.2099,219,-2117.880814
498.6380,220,-2117.880814
503.3985,221,-2117.880814
508.9898,222,-2117.880814
512.5263,223,-2117.880814
515.9902,224,-2117.880814
518.6700,225,-2117.880814
522.3224,226,-2117.880814
527.1387,227,-2117.880814
533.2418,228,-2117.880814
536.5582,229,-2117.880814
539.7569,230,-2117.880814
542.7799,231,-2117.880814
545.5702,232,-2117.880814
549.5435,233,-2117.880814
553.4662,234,-2117.880814
556.7742,235,-2117.880814
