SEED: 3335184711
BEST: -680.9908905029297
t,generation,fitness
4.0032,0,-2117.880814
6.4739,1,-2117.880814
9.5781,2,-1792.140747
12.2779,3,-1792.140747
14.8067,4,-1697.012741
16.5703,5,-1697.012741
19.9183,6,-1697.012741
22.9558,7,-1648.645279
25.2621,8,-1299.239944
27.3778,9,-1299.239944
29.9902,10,-1299.239944
31.3142,11,-1299.239944
33.4221,12,-1299.239944
34.7897,13,-1299.239944
37.1187,14,-1183.799133
38.9538,15,-1183.799133
41.6293,16,-1183.799133
43.4304,17,-1183.440720
45.8224,18,-1183.440720
48.3245,19,-1165.936172
50.7701,20,-1165.936172
53.0221,21,-1149.139267
54.8261,22,-1149.139267
58.0379,23,-1149.139267
60.9260,24,-1145.433548
63.0230,25,-1145.433548
65.9066,26,-1122.172165
68.6601,27,-1122.172165
70.3740,28,-1122.172165
72.2019,29,-1122.172165
74.9115,30,-1122.172165
77.3978,31,-1122.172165
79.3139,32,-1122.172165
81.7298,33,-1122.172165
84.4507,34,-1122.172165
85.9138,35,-1122.172165
88.3855,36,-1114.346375
90.8704,37,-1114.346375
93.7266,38,-1114.346375
96.1072,39,-1114.346375
98.1224,40,-1114.346375
101.2606,41,-1114.346375
103.7784,42,-1114.346375
106.4862,43,-1114.346375
109.1950,44,-1114.346375
111.6103,45,-1111.338760
113.9661,46,-1111.338760
116.4787,47,-1108.687317
120.0745,48,-1108.687317
123.4384,49,-1108.687317
126.4101,50,-1108.687317
129.3262,51,-1108.687317
131.7901,52,-1108.687317
134.0582,53,-1108.687317
136.2064,54,-1108.687317
139.6800,55,-1108.687317
142.3421,56,-1108.687317
145.6265,57,-1108.687317
147.7399,58,-1108.687317
150.2368,59,-1108.687317
152.6865,60,-1108.687317
155.0786,61,-1108.687317
158.0264,62,-1108.687317
161.0902,63,-1108.687317
163.3625,64,-1108.687317
165.9304,65,-1108.687317
169.0661,66,-1108.687317
171.2536,67,-1108.687317
173.6909,68,-1108.687317
177.6567,69,-1108.687317
180.1424,70,-1108.687317
183.2707,71,-1108.687317
186.1504,72,-1108.687317
188.6701,73,-1108.687317
191.0221,74,-1108.687317
193.8426,75,-1108.687317
196.1462,76,-1108.687317
199.7223,77,-1108.687317
202.5384,78,-1108.687317
205.7932,79,-1108.687317
209.0383,80,-1108.687317
211.8069,81,-1108.687317
214.9382,82,-1108.687317
217.4347,83,-1108.687317
220.3203,84,-1108.687317
223.8180,85,-1108.687317
227.3979,86,-1108.687317
229.2862,87,-1108.687317
232.0901,88,-1108.687317
234.6743,89,-1108.687317
237.2941,90,-1108.687317
239.9981,91,-1108.687317
242.5307,92,-1108.687317
245.6300,93,-1108.687317
248.0985,94,-1108.687317
251.6180,95,-1108.687317
253.7542,96,-1108.687317
255.7613,97,-1108.687317
258.6504,98,-1108.687317
261.2177,99,-1108.687317
263.6164,100,-1108.687317
266.3669,101,-1108.687317
268.7421,102,-1108.687317
271.2703,103,-1108.687317
273.7461,104,-1108.687317
276.7939,105,-1108.687317
278.5459,106,-1108.687317
281.1819,107,-1108.687317
283.9949,108,-1108.687317
285.7262,109,-1108.687317
288.3622,110,-1108.687317
290.7011,111,-1108.687317
292.6177,112,-1108.687317
295.1343,113,-1108.687317
298.0622,114,-1108.687317
300.8464,115,-1108.687317
303.6503,116,-1108.687317
307.0745,117,-1108.687317
309.2371,118,-1108.687317
311.8551,119,-1108.687317
314.0379,120,-1108.687317
316.7622,121,-1108.687317
319.3675,122,-1108.687317
322.2747,123,-1108.687317
324.0945,124,-1108.687317
326.5023,125,-1108.687317
328.7660,126,-1108.687317
331.5384,127,-1108.687317
333.8622,128,-1098.118500
335.8253,129,-1098.118500
338.5584,130,-1098.118500
340.2983,131,-1098.118500
343.0354,132,-1098.118500
346.2740,133,-1098.118500
348.4262,134,-1098.118500
352.2134,135,-1098.118500
355.1103,136,-1098.118500
357.9357,137,-1098.118500
361.5462,138,-1098.118500
364.4143,139,-1098.118500
367.9100,140,-1098.118500
371.1139,141,-1098.118500
373.3103,142,-1098.118500
376.0544,143,-1093.707306
379.2586,144,-1093.707306
382.8302,145,-1093.707306
386.0171,146,-1093.707306
388.9906,147,-1093.707306
392.8156,148,-1093.707306
396.5738,149,-1093.707306
400.6340,150,-1093.707306
403.8542,151,-1093.707306
408.5941,152,-1093.707306
413.3821,153,-1093.707306
416.7898,154,-1093.707306
419.6864,155,-1093.707306
423.3024,156,-1093.707306
426.2660,157,-1093.707306
430.2349,158,-1093.707306
434.5623,159,-1093.707306
437.6303,160,-1093.707306
441.3465,161,-1093.707306
444.6405,162,-1093.707306
448.0259,163,-1093.707306
451.5939,164,-1093.707306
455.7978,165,-1093.707306
458.4022,166,-1093.707306
461.9257,167,-1093.707306
463.7669,168,-1093.707306
466.9621,169,-1093.707306
470.2661,170,-1093.707306
473.1498,171,-1093.707306
477.5340,172,-1093.707306
481.1300,173,-1093.707306
484.2066,174,-1093.707306
488.2503,175,-1093.707306
491.6261,176,-1093.707306
494.9698,177,-1093.707306
498.2977,178,-1093.707306
502.5981,179,-1093.707306
505.3261,180,-1093.707306
508.9578,181,-1093.707306
513.2059,182,-1093.707306
516.7380,183,-1093.707306
520.6978,184,-1093.707306
523.5860,185,-1093.707306
527.1979,186,-1093.707306
530.6723,187,-1093.707306
534.7021,188,-1093.707306
537.5003,189,-1093.707306
540.4382,190,-1093.707306
544.4220,191,-1093.707306
547.6302,192,-1093.707306
550.3343,193,-1093.707306
553.6944,194,-1093.707306
557.1703,195,-1075.894791
560.8939,196,-1075.894791
564.5581,197,-1075.894791
567.2980,198,-1075.894791
571.2385,199,-1075.894791
574.6503,200,-1075.894791
577.8865,201,-1075.894791
582.2902,202,-1075.894791
585.9424,203,-1075.894791
589.5501,204,-1075.894791
592.9062,205,-1075.894791
596.4621,206,-1075.894791
598.7167,207,-1075.894791
602.5743,208,-1075.894791
606.2098,209,-1075.894791
609.9741,210,-1075.894791
612.9981,211,-1075.894791
616.1465,212,-1075.894791
619.4421,213,-1075.894791
623.3100,214,-1075.894791
627.2753,215,-1075.894791
631.2025,216,-1075.894791
634.1827,217,-1075.894791
638.4018,218,-1075.894791
641.3658,219,-1075.894791
644.9900,220,-1075.894791
648.2542,221,-1075.894791
652.0260,222,-1075.894791
655.1744,223,-1075.894791
658.2742,224,-1075.894791
661.5294,225,-1075.894791
664.9300,226,-1075.894791
668.6622,227,-1075.894791
671.4022,228,-1075.894791
675.1263,229,-1075.894791
678.8060,230,-1075.894791
682.9265,231,-1075.894791
686.9414,232,-1075.894791
690.7742,233,-1075.894791
694.8139,234,-1075.894791
